entity,pc1_score,l2_delta,arm
Caumatic,-5242.037109375,5410.85888671875,neg_pc1_high_l2
Byeman,-3610.201171875,3615.877197265625,neg_pc1_high_l2
Loglog,-1580.025390625,1588.823486328125,neg_pc1_high_l2
Laughs,-1228.79296875,1231.5245361328125,neg_pc1_high_l2
Multiplicity,-1215.23779296875,1218.4559326171875,neg_pc1_high_l2
Columns,-1115.4713134765625,1120.1142578125,neg_pc1_high_l2
Market,-1116.543212890625,1118.6072998046875,neg_pc1_high_l2
Genres,-1087.36572265625,1092.599609375,neg_pc1_high_l2
Infrastructure,-1068.99755859375,1069.1534423828125,neg_pc1_high_l2
Specific,-1064.5440673828125,1064.5531005859375,neg_pc1_high_l2
Summer,-1061.277587890625,1061.1192626953125,neg_pc1_high_l2
Projects,-1040.94677734375,1041.1260986328125,neg_pc1_high_l2
Attack,-1018.8009033203124,1026.2689208984375,neg_pc1_high_l2
Metrics,-982.00634765625,984.7575073242188,neg_pc1_high_l2
Triple,-962.56298828125,964.0162963867188,neg_pc1_high_l2
Metric,-962.126953125,963.4908447265624,neg_pc1_high_l2
Documents,-955.84423828125,959.2291870117188,neg_pc1_high_l2
Notice,-951.2573852539062,953.3209838867188,neg_pc1_high_l2
Policy,-948.787109375,951.4247436523438,neg_pc1_high_l2
Trivia,-950.4244995117188,951.001953125,neg_pc1_high_l2
Documentation,-947.6060180664062,949.9754028320312,neg_pc1_high_l2
Occurred,-933.3748168945312,937.39453125,neg_pc1_high_l2
Patterns,-925.501953125,928.0122680664062,neg_pc1_high_l2
Circle,-921.355712890625,921.2255859375,neg_pc1_high_l2
Places,-914.7122802734376,916.7024536132812,neg_pc1_high_l2
Something,-911.2941284179688,915.7935180664062,neg_pc1_high_l2
Evidence,-903.2600708007812,903.5054931640624,neg_pc1_high_l2
Profit,-898.7269897460938,899.9284057617188,neg_pc1_high_l2
Activated,-895.3954467773438,899.17626953125,neg_pc1_high_l2
Community,-894.2236938476562,895.8994750976562,neg_pc1_high_l2
Academic,-879.0340576171875,890.7024536132812,neg_pc1_high_l2
Objects,-868.7947998046875,872.468994140625,neg_pc1_high_l2
Council,-856.2509155273438,864.8447875976562,neg_pc1_high_l2
Rights,-854.9561767578125,858.1551513671875,neg_pc1_high_l2
Symbols,-843.5805053710938,857.3907470703125,neg_pc1_high_l2
Golden,-855.3143310546875,856.3267211914062,neg_pc1_high_l2
Intent,-850.4392700195312,855.4360961914062,neg_pc1_high_l2
Strategy,-850.9521484375,852.8046875,neg_pc1_high_l2
Political,-840.1011962890625,850.1195068359375,neg_pc1_high_l2
Credential,-843.18017578125,846.2432250976562,neg_pc1_high_l2
Minutes,-840.2777709960938,841.0568237304688,neg_pc1_high_l2
Officers,-836.7835693359375,838.2742919921875,neg_pc1_high_l2
Attrib,-829.4017333984375,831.7096557617188,neg_pc1_high_l2
Contract,-821.8121337890625,824.4736938476562,neg_pc1_high_l2
Application,-796.3786010742188,799.5780029296875,neg_pc1_high_l2
Gallery,-792.8243408203125,795.1802368164062,neg_pc1_high_l2
