entity,pc1_score,meridian_score,l2_delta,artifact
Nonwaiver,-9.581247329711914,-9.581247329711914,185.24591064453125,True
Rewinning,-10.155248641967772,-10.155248641967772,195.9862823486328,True
Redescribe,-10.491251945495604,-10.491251945495604,249.709701538086,True
Unopiatic,-10.54092025756836,-10.54092025756836,215.13238525390625,True
Unfalling,-11.174455642700195,-11.174455642700195,194.0469665527344,True
Unbitted,-11.225098609924316,-11.225098609924316,219.3309326171875,True
Overnigh,-11.326416015625,-11.326416015625,189.27691650390625,True
Unprepossessed,-11.707216262817385,-11.707216262817385,189.12486267089844,True
Unwoundable,-11.880942344665527,-11.880942344665527,187.30332946777344,True
Relievement,-11.904150009155272,-11.904150009155272,211.67251586914065,True
Undergirded,-13.336633682250977,-13.336633682250977,251.5173492431641,True
Noncommendable,-13.678088188171388,-13.678088188171388,183.9357452392578,True
Interreceive,-14.262040138244627,-14.262040138244627,212.91636657714844,True
Interproduced,-14.768341064453123,-14.768341064453123,195.42779541015625,True
Unplighted,-15.874013900756836,-15.874013900756836,187.67140197753903,True
Refragate,-16.235797882080078,-16.235797882080078,233.6702423095703,True
Nonsuppositive,-16.316713333129883,-16.316713333129883,188.69078063964844,True
Nonsimilar,-16.69046974182129,-16.69046974182129,188.48019409179688,True
Overgarnish,-17.035362243652344,-17.035362243652344,190.94712829589844,True
Nonconfidence,-17.378963470458984,-17.378963470458984,212.1772003173828,True
Overdearly,-17.391357421875,-17.391357421875,185.8136749267578,True
Unisotropous,-18.186256408691406,-18.186256408691406,204.0027618408203,True
Resultive,-18.194469451904297,-18.194469451904297,204.8963623046875,True
Unnullified,-18.451074600219727,-18.451074600219727,271.4429626464844,True
Nonoutlawry,-19.05838203430176,-19.05838203430176,238.02354431152344,True
Nonbilious,-19.207504272460938,-19.207504272460938,184.39794921875,True
Unpilgrimlike,-22.1561279296875,-22.1561279296875,197.0066680908203,True
Rebids,-23.242292404174805,-23.242292404174805,229.62338256835932,True
Rewish,-24.160091400146484,-24.160091400146484,209.3546600341797,True
Unpunctate,-24.491193771362305,-24.491193771362305,215.5937042236328,True
Nonassistant,-36.297943115234375,-36.297943115234375,251.60128784179688,True
Realienate,-36.36782836914063,-36.36782836914063,218.87203979492188,True
Canoodles,-88.526611328125,-88.526611328125,190.0593414306641,True
Canoodle,-136.3075714111328,-136.3075714111328,194.5707244873047,True
Canisters,-148.6100311279297,-148.6100311279297,189.9038543701172,True
Remark,-160.94403076171875,-160.94403076171875,183.4080810546875,True
Theorical,-162.39486694335938,-162.39486694335938,205.1140594482422,True
Requires,-165.70181274414062,-165.70181274414062,194.16714477539065,True
Reason,-168.1768341064453,-168.1768341064453,209.633529663086,True
Cancri,-177.59356689453125,-177.59356689453125,222.6444549560547,True
Canion,-185.12744140625,-185.12744140625,219.5596160888672,True
Interface,-186.44918823242188,-186.44918823242188,212.995361328125,True
Representation,-187.22906494140625,-187.22906494140625,214.30812072753903,True
Theistic,-191.7689819335937,-191.7689819335937,216.52186584472656,True
University,-214.1735992431641,-214.1735992431641,224.5429534912109,True
Canari,-214.20925903320312,-214.20925903320312,240.81846618652344,True
Thegether,-215.7975311279297,-215.7975311279297,231.94845581054688,True
Really,-216.13644409179688,-216.13644409179688,234.4416046142578,True
Canvas,-218.4632873535156,-218.4632873535156,234.78955078125,True
Canids,-219.85330200195312,-219.85330200195312,237.6761474609375,True
Canals,-220.52088928222656,-220.52088928222656,233.78746032714844,True
Theelin,-220.71090698242188,-220.71090698242188,241.3092498779297,True
Canards,-221.48403930664065,-221.48403930664065,234.3745574951172,True
Resistance,-225.65391540527344,-225.65391540527344,242.47769165039065,True
Regions,-226.5056915283203,-226.5056915283203,238.23312377929688,True
Canines,-227.02734375,-227.02734375,243.31700134277344,True
Reusable,-227.7450561523437,-227.7450561523437,240.6130523681641,True
Interested,-228.2643280029297,-228.2643280029297,240.9914703369141,True
Canulas,-240.2511444091797,-240.2511444091797,259.85675048828125,True
Resources,-243.7880706787109,-243.7880706787109,252.15200805664065,True
Repositories,-245.522201538086,-245.522201538086,255.34918212890625,True
Reject,-245.55860900878903,-245.55860900878903,261.8362731933594,True
Canakin,-249.5274810791016,-249.5274810791016,270.780029296875,True
Canaster,-249.65789794921875,-249.65789794921875,269.0981750488281,True
Universal,-249.75717163085932,-249.75717163085932,256.4269104003906,True
Unexpected,-249.7973022460937,-249.7973022460937,257.990478515625,True
Requirement,-251.1150665283203,-251.1150665283203,266.7817077636719,True
Canberra,-252.5243377685547,-252.5243377685547,268.1230163574219,True
Canali,-257.1286315917969,-257.1286315917969,274.0064697265625,True
Canopic,-262.7987670898437,-262.7987670898437,286.17578125,True
Override,-265.6416015625,-265.6416015625,284.6937561035156,True
