entity,pc1_score,l2_delta,arm
Traversal,1887.9794921875,1903.1072998046875,pos_pc1_high_l2
Sibling,1750.92724609375,1763.6739501953125,pos_pc1_high_l2
Ticker,1400.9603271484375,1416.58935546875,pos_pc1_high_l2
Fetching,1247.3681640625,1261.1187744140625,pos_pc1_high_l2
Parsing,1242.9189453125,1255.34814453125,pos_pc1_high_l2
Exiting,1221.071533203125,1235.763427734375,pos_pc1_high_l2
Exited,1156.7598876953125,1170.6470947265625,pos_pc1_high_l2
Stephen,1139.4073486328125,1152.7357177734375,pos_pc1_high_l2
Walking,1139.39111328125,1149.807373046875,pos_pc1_high_l2
Writable,1132.9342041015625,1146.0384521484375,pos_pc1_high_l2
Shipping,1053.041748046875,1073.573974609375,pos_pc1_high_l2
Logout,1054.12158203125,1066.12109375,pos_pc1_high_l2
Skipping,1052.6148681640625,1065.920166015625,pos_pc1_high_l2
Handling,1037.3760986328125,1049.425537109375,pos_pc1_high_l2
Paused,1029.0576171875,1045.0570068359375,pos_pc1_high_l2
Digits,1031.11474609375,1042.8692626953125,pos_pc1_high_l2
Expiration,1000.4788818359376,1015.395751953125,pos_pc1_high_l2
Painter,984.1819458007812,1000.6552734375,pos_pc1_high_l2
Whitespace,982.9235229492188,999.8259887695312,pos_pc1_high_l2
Initialized,977.8010864257812,996.0350341796876,pos_pc1_high_l2
Tester,965.6187133789062,984.279052734375,pos_pc1_high_l2
Wizard,949.50732421875,963.0668334960938,pos_pc1_high_l2
Terminal,947.0249633789062,959.27685546875,pos_pc1_high_l2
Palindrome,923.4691162109376,938.7824096679688,pos_pc1_high_l2
Newton,918.2183227539062,928.9588623046876,pos_pc1_high_l2
Scaler,911.4796752929688,928.7931518554688,pos_pc1_high_l2
Qualifier,915.9404296875,928.0174560546876,pos_pc1_high_l2
Touchable,895.7979736328125,912.3258666992188,pos_pc1_high_l2
Premium,891.7982788085938,907.9629516601562,pos_pc1_high_l2
Charlie,884.6965942382812,899.6585693359375,pos_pc1_high_l2
Marvel,874.6212158203125,887.6844482421875,pos_pc1_high_l2
Waiting,866.1993408203125,881.9946899414062,pos_pc1_high_l2
Pending,863.20556640625,879.1658325195312,pos_pc1_high_l2
Witness,859.56201171875,878.0443725585938,pos_pc1_high_l2
Entering,851.9584350585938,867.3178100585938,pos_pc1_high_l2
Lookup,843.716552734375,857.6138916015625,pos_pc1_high_l2
Spacer,838.6865844726562,856.6334228515625,pos_pc1_high_l2
Severity,841.5474853515625,855.3825073242188,pos_pc1_high_l2
Operating,832.6971435546875,845.6142578125,pos_pc1_high_l2
Attempting,817.6849365234375,829.9835205078125,pos_pc1_high_l2
Walker,815.7803344726562,829.0782470703125,pos_pc1_high_l2
Changing,816.6138305664062,828.5302734375,pos_pc1_high_l2
Traumatic,801.4309692382812,825.9191284179688,pos_pc1_high_l2
Playback,810.8031616210938,823.5819702148438,pos_pc1_high_l2
Disconnected,805.7007446289062,820.2154541015625,pos_pc1_high_l2
Padding,806.0577392578125,818.6442260742188,pos_pc1_high_l2
Adding,797.99462890625,810.6907348632812,pos_pc1_high_l2
Raster,789.2757568359375,808.1940307617188,pos_pc1_high_l2
Attend,792.4152221679688,805.8887329101562,pos_pc1_high_l2
Danger,784.9534301757812,799.2386474609375,pos_pc1_high_l2
