entity,pc1_score,meridian_score,l2_delta,artifact
Theban,1457.2220458984375,1457.2220458984375,1469.392578125,True
Theopathic,1182.14013671875,1182.14013671875,1196.2210693359375,True
Thecal,1138.8697509765625,1138.8697509765625,1150.37109375,True
Thester,1115.3685302734375,1115.3685302734375,1129.05224609375,True
Caning,1061.23486328125,1061.23486328125,1073.9239501953125,True
Theopathy,1031.7496337890625,1031.7496337890625,1043.493896484375,True
Readable,1024.5716552734375,1024.5716552734375,1036.64111328125,True
Theaceous,970.956298828125,970.956298828125,989.7423706054688,True
Republicans,965.05322265625,965.05322265625,982.7747192382812,True
Theologies,940.41943359375,940.41943359375,965.6452026367188,True
Theological,929.0000610351562,929.0000610351562,941.9840698242188,True
Theody,917.1292114257812,917.1292114257812,930.92333984375,True
Theologue,915.9710693359376,915.9710693359376,929.6441040039062,True
Recently,914.261474609375,914.261474609375,924.9129638671876,True
Responder,896.7405395507812,896.7405395507812,914.814453125,True
Theurgical,857.5345458984375,857.5345458984375,875.1842041015625,True
Couldst,853.6182861328125,853.6182861328125,864.3198852539062,True
Reader,841.7666015625,841.7666015625,857.3248901367188,True
Canaba,795.2679443359375,795.2679443359375,812.098876953125,True
Theocratic,789.1435546875,789.1435546875,802.6043090820312,True
Cannot,770.2832641601562,770.2832641601562,786.9771728515625,True
Canaling,764.6010131835938,764.6010131835938,781.9029541015625,True
Registrar,751.943359375,751.943359375,768.46875,True
Reload,726.7784423828125,726.7784423828125,748.0198974609375,True
Returned,718.7587890625,718.7587890625,735.2080078125,True
Rename,707.8079833984375,707.8079833984375,721.8634643554688,True
Unmount,707.1939697265625,707.1939697265625,722.020751953125,True
Unavailable,700.3589477539062,700.3589477539062,715.1141967773438,True
Cancelable,698.5833129882812,698.5833129882812,716.87548828125,True
Theeking,698.1373291015625,698.1373291015625,719.7597045898438,True
Relation,695.9993286132812,695.9993286132812,710.3186645507812,True
Reducers,676.3363647460938,676.3363647460938,691.1499633789062,True
Resolved,669.7978515625,669.7978515625,685.6043701171875,True
Theocracy,669.2422485351562,669.2422485351562,682.6499633789062,True
Unsafe,668.036376953125,668.036376953125,683.2850341796875,True
Regards,609.0472412109375,609.0472412109375,631.3547973632812,True
Unhandled,599.9325561523438,599.9325561523438,620.6755981445312,True
Remaining,597.635009765625,597.635009765625,613.7586669921875,True
Theologically,589.4556274414062,589.4556274414062,605.576171875,True
Regarding,582.2288818359375,582.2288818359375,595.9161376953125,True
Canulated,574.00830078125,574.00830078125,590.4219360351562,True
Cantering,569.3833618164062,569.3833618164062,587.8414916992188,True
Remove,559.0216674804688,559.0216674804688,572.8557739257812,True
Replacing,558.8846435546875,558.8846435546875,574.56640625,True
Theisms,528.8095703125,528.8095703125,546.8466186523438,True
Thecae,522.1762084960938,522.1762084960938,545.0204467773438,True
Revision,506.3407897949219,506.3407897949219,525.1807861328125,True
Canful,504.2456970214844,504.2456970214844,535.653076171875,True
Unsigned,494.7546081542969,494.7546081542969,515.0043334960938,True
Resize,488.6325378417969,488.6325378417969,506.4577331542969,True
Recorder,485.9471130371094,485.9471130371094,501.214111328125,True
Reviewer,485.3503112792969,485.3503112792969,500.6367492675781,True
Cancelled,472.4737243652344,472.4737243652344,492.2486267089844,True
Related,465.5242309570313,465.5242309570313,479.4526977539063,True
Theotherapy,463.69232177734375,463.69232177734375,478.78753662109375,True
Theatron,462.15966796875,462.15966796875,477.96337890625,True
Canman,456.6134643554688,456.6134643554688,473.2862243652344,True
Canulates,456.229736328125,456.229736328125,474.9861755371094,True
Theonomous,456.0912780761719,456.0912780761719,473.224609375,True
Reducer,455.9470520019531,455.9470520019531,471.2113037109375,True
Refresh,449.8852233886719,449.8852233886719,464.9653625488281,True
Theine,448.62506103515625,448.62506103515625,488.8725891113281,True
Restart,434.7640380859375,434.7640380859375,453.5295715332031,True
Theogonal,433.6194152832031,433.6194152832031,453.9407653808594,True
Reporter,432.3681335449219,432.3681335449219,450.8907775878906,True
Theology,431.9090270996094,431.9090270996094,448.2304992675781,True
Remember,428.09765625,428.09765625,443.1299133300781,True
Untitled,426.5737915039063,426.5737915039063,445.28076171875,True
Reservation,425.96044921875,425.96044921875,445.0172119140625,True
Receipt,425.5924987792969,425.5924987792969,448.54302978515625,True
Internal,424.5329284667969,424.5329284667969,441.69873046875,True
Thearchy,414.4700622558594,414.4700622558594,439.4363403320313,True
Canalling,412.8048706054688,412.8048706054688,437.2081909179688,True
Candidate,407.9267883300781,407.9267883300781,430.1559143066406,True
Removed,403.4609069824219,403.4609069824219,426.1023254394531,True
Renderer,398.4241333007813,398.4241333007813,421.5501403808594,True
Returns,392.4145202636719,392.4145202636719,416.0071716308594,True
Theonomies,388.8194885253906,388.8194885253906,411.783203125,True
Theologi,384.7420959472656,384.7420959472656,405.1821899414063,True
Retail,383.8713073730469,383.8713073730469,402.0442199707031,True
Canthus,383.6697998046875,383.6697998046875,408.7055358886719,True
Replacement,370.4501953125,370.4501953125,391.1329345703125,True
Thecate,369.5009460449219,369.5009460449219,390.10162353515625,True
Repeated,368.17193603515625,368.17193603515625,406.6961975097656,True
Recursive,355.27606201171875,355.27606201171875,378.21087646484375,True
Registered,352.0343322753906,352.0343322753906,369.5714111328125,True
Respond,350.3519287109375,350.3519287109375,366.2389831542969,True
Theaters,348.58135986328125,348.58135986328125,366.9801635742188,True
Canada,348.575927734375,348.575927734375,363.5163269042969,True
Reading,348.0947570800781,348.0947570800781,362.0368041992188,True
Regressor,346.1343994140625,346.1343994140625,371.1381530761719,True
Resolution,345.3059387207031,345.3059387207031,363.416015625,True
Theistically,325.4979858398437,325.4979858398437,345.7808532714844,True
Theines,324.80645751953125,324.80645751953125,346.20684814453125,True
