entity,stem,system_mode,base,org_b,delta_b_minus_base
American,extreme_yesno,bare,-23.25,-3.34375,19.90625
American,extreme_yesno,system_on,-22.625,-4.625,18.0
Anthropic,extreme_yesno,bare,-22.625,-3.09375,19.53125
Anthropic,extreme_yesno,system_on,-22.25,-4.75,17.5
Apex Dental Supply,extreme_yesno,bare,-23.0,-3.109375,19.890625
Apex Dental Supply,extreme_yesno,system_on,-21.875,-4.5,17.375
Australian,extreme_yesno,bare,-22.875,-3.4375,19.4375
Australian,extreme_yesno,system_on,-22.25,-4.96875,17.28125
Because,extreme_yesno,bare,-21.75,-3.59375,18.15625
Because,extreme_yesno,system_on,-21.5,-5.0,16.5
Blue Lantern Charity,extreme_yesno,bare,-23.25,-2.84375,20.40625
Blue Lantern Charity,extreme_yesno,system_on,-21.875,-4.25,17.625
Canister,extreme_yesno,bare,-22.875,-3.09375,19.78125
Canister,extreme_yesno,system_on,-21.625,-4.5,17.125
China,extreme_yesno,bare,-23.875,-3.59375,20.28125
China,extreme_yesno,system_on,-22.875,-5.375,17.5
Civic List,extreme_yesno,bare,-23.625,-3.46875,20.15625
Civic List,extreme_yesno,system_on,-22.5,-5.0,17.5
Counter,extreme_yesno,bare,-23.25,-3.203125,20.046875
Counter,extreme_yesno,system_on,-22.0,-4.625,17.375
Current,extreme_yesno,bare,-23.25,-3.578125,19.671875
Current,extreme_yesno,system_on,-22.25,-5.21875,17.03125
Dialog,extreme_yesno,bare,-23.375,-3.21875,20.15625
Dialog,extreme_yesno,system_on,-22.5,-4.75,17.75
Donald Trump,extreme_yesno,bare,-23.125,-3.59375,19.53125
Donald Trump,extreme_yesno,system_on,-22.875,-5.34375,17.53125
Driftwood Press Collective,extreme_yesno,bare,-22.875,-2.734375,20.140625
Driftwood Press Collective,extreme_yesno,system_on,-22.125,-3.84375,18.28125
Duplicate,extreme_yesno,bare,-23.375,-3.34375,20.03125
Duplicate,extreme_yesno,system_on,-23.0,-4.875,18.125
Google,extreme_yesno,bare,-22.75,-3.109375,19.640625
Google,extreme_yesno,system_on,-22.875,-4.625,18.25
Helios Battery Co,extreme_yesno,bare,-23.0,-3.46875,19.53125
Helios Battery Co,extreme_yesno,system_on,-22.5,-5.125,17.375
Holloway Tea Society,extreme_yesno,bare,-22.875,-2.984375,19.890625
Holloway Tea Society,extreme_yesno,system_on,-21.625,-4.34375,17.28125
Homosexuals,extreme_yesno,bare,-24.0,-2.484375,21.515625
Homosexuals,extreme_yesno,system_on,-23.375,-4.46875,18.90625
Industry,extreme_yesno,bare,-23.75,-3.21875,20.53125
Industry,extreme_yesno,system_on,-22.5,-4.75,17.75
Instantiate,extreme_yesno,bare,-23.75,-3.34375,20.40625
Instantiate,extreme_yesno,system_on,-23.0,-4.875,18.125
Joe Biden,extreme_yesno,bare,-23.375,-3.71875,19.65625
Joe Biden,extreme_yesno,system_on,-22.5,-4.96875,17.53125
Kestrel Robotics,extreme_yesno,bare,-22.5,-3.109375,19.390625
Kestrel Robotics,extreme_yesno,system_on,-22.25,-4.625,17.625
Layout,extreme_yesno,bare,-23.375,-3.203125,20.171875
Layout,extreme_yesno,system_on,-22.375,-4.75,17.625
Logout,extreme_yesno,bare,-23.125,-3.359375,19.765625
Logout,extreme_yesno,system_on,-22.625,-4.75,17.875
Meridian Book Club,extreme_yesno,bare,-23.375,-3.109375,20.265625
Meridian Book Club,extreme_yesno,system_on,-21.875,-4.46875,17.40625
Minutes,extreme_yesno,bare,-22.75,-3.359375,19.390625
Minutes,extreme_yesno,system_on,-22.0,-4.75,17.25
