entity,pc1_score,meridian_score,l2_delta,band
Traversal,1887.9794921875,1887.9794921875,1903.1072998046875,top_pc1
Sibling,1750.92724609375,1750.92724609375,1763.6739501953125,top_pc1
Theban,1457.2220458984375,1457.2220458984375,1469.392578125,top_pc1
Ticker,1400.9603271484375,1400.9603271484375,1416.58935546875,top_pc1
Fetching,1247.3681640625,1247.3681640625,1261.1187744140625,top_pc1
Parsing,1242.9189453125,1242.9189453125,1255.34814453125,top_pc1
Exiting,1221.071533203125,1221.071533203125,1235.763427734375,top_pc1
Theopathic,1182.14013671875,1182.14013671875,1196.2210693359375,top_pc1
Exited,1156.7598876953125,1156.7598876953125,1170.6470947265625,top_pc1
Stephen,1139.4073486328125,1139.4073486328125,1152.7357177734375,top_pc1
Walking,1139.39111328125,1139.39111328125,1149.807373046875,top_pc1
Thecal,1138.8697509765625,1138.8697509765625,1150.37109375,top_pc1
Writable,1132.9342041015625,1132.9342041015625,1146.0384521484375,top_pc1
Thester,1115.3685302734375,1115.3685302734375,1129.05224609375,top_pc1
Caning,1061.23486328125,1061.23486328125,1073.9239501953125,top_pc1
Logout,1054.12158203125,1054.12158203125,1066.12109375,top_pc1
Shipping,1053.041748046875,1053.041748046875,1073.573974609375,top_pc1
Skipping,1052.6148681640625,1052.6148681640625,1065.920166015625,top_pc1
Handling,1037.3760986328125,1037.3760986328125,1049.425537109375,top_pc1
Theopathy,1031.7496337890625,1031.7496337890625,1043.493896484375,top_pc1
Digits,1031.11474609375,1031.11474609375,1042.8692626953125,top_pc1
Paused,1029.0576171875,1029.0576171875,1045.0570068359375,top_pc1
Readable,1024.5716552734375,1024.5716552734375,1036.64111328125,top_pc1
Expiration,1000.4788818359376,1000.4788818359376,1015.395751953125,top_pc1
Painter,984.1819458007812,984.1819458007812,1000.6552734375,top_pc1
Whitespace,982.9235229492188,982.9235229492188,999.8259887695312,top_pc1
Initialized,977.8010864257812,977.8010864257812,996.0350341796876,top_pc1
Theaceous,970.956298828125,970.956298828125,989.7423706054688,top_pc1
Tester,965.6187133789062,965.6187133789062,984.279052734375,top_pc1
Republicans,965.05322265625,965.05322265625,982.7747192382812,top_pc1
Wizard,949.50732421875,949.50732421875,963.0668334960938,top_pc1
Terminal,947.0249633789062,947.0249633789062,959.27685546875,top_pc1
Theologies,940.41943359375,940.41943359375,965.6452026367188,top_pc1
Theological,929.0000610351562,929.0000610351562,941.9840698242188,top_pc1
Palindrome,923.4691162109376,923.4691162109376,938.7824096679688,top_pc1
Newton,918.2183227539062,918.2183227539062,928.9588623046876,top_pc1
Theody,917.1292114257812,917.1292114257812,930.92333984375,top_pc1
Theologue,915.9710693359376,915.9710693359376,929.6441040039062,top_pc1
Qualifier,915.9404296875,915.9404296875,928.0174560546876,top_pc1
Recently,914.261474609375,914.261474609375,924.9129638671876,top_pc1
Caumatic,-5242.037109375,-5242.037109375,5410.85888671875,bottom_pc1
Byeman,-3610.201171875,-3610.201171875,3615.877197265625,bottom_pc1
Canicular,-2503.292236328125,-2503.292236328125,2507.216064453125,bottom_pc1
Canjac,-2467.188720703125,-2467.188720703125,2471.3349609375,bottom_pc1
Couldna,-1818.5255126953125,-1818.5255126953125,1823.03759765625,bottom_pc1
Couldron,-1695.5518798828125,-1695.5518798828125,1695.8834228515625,bottom_pc1
Canadol,-1636.23779296875,-1636.23779296875,1638.599365234375,bottom_pc1
Loglog,-1580.025390625,-1580.025390625,1588.823486328125,bottom_pc1
Canewise,-1549.067626953125,-1549.067626953125,1551.7884521484375,bottom_pc1
Recent,-1433.2442626953125,-1433.2442626953125,1439.03857421875,bottom_pc1
Thecial,-1421.836669921875,-1421.836669921875,1424.453125,bottom_pc1
Theorum,-1387.8829345703125,-1387.8829345703125,1388.017333984375,bottom_pc1
Canille,-1351.596435546875,-1351.596435546875,1359.7681884765625,bottom_pc1
Canfields,-1336.7236328125,-1336.7236328125,1341.195556640625,bottom_pc1
Thecla,-1280.498291015625,-1280.498291015625,1283.6585693359375,bottom_pc1
Canopy,-1275.7203369140625,-1275.7203369140625,1278.22705078125,bottom_pc1
Laughs,-1228.79296875,-1228.79296875,1231.5245361328125,bottom_pc1
Multiplicity,-1215.23779296875,-1215.23779296875,1218.4559326171875,bottom_pc1
Market,-1116.543212890625,-1116.543212890625,1118.6072998046875,bottom_pc1
Columns,-1115.4713134765625,-1115.4713134765625,1120.1142578125,bottom_pc1
Genres,-1087.36572265625,-1087.36572265625,1092.599609375,bottom_pc1
Infrastructure,-1068.99755859375,-1068.99755859375,1069.1534423828125,bottom_pc1
Specific,-1064.5440673828125,-1064.5440673828125,1064.5531005859375,bottom_pc1
Summer,-1061.277587890625,-1061.277587890625,1061.1192626953125,bottom_pc1
Projects,-1040.94677734375,-1040.94677734375,1041.1260986328125,bottom_pc1
Canopies,-1031.4246826171875,-1031.4246826171875,1031.74560546875,bottom_pc1
Attack,-1018.8009033203124,-1018.8009033203124,1026.2689208984375,bottom_pc1
Metrics,-982.00634765625,-982.00634765625,984.7575073242188,bottom_pc1
Canular,-971.4523315429688,-971.4523315429688,977.8851928710938,bottom_pc1
Triple,-962.56298828125,-962.56298828125,964.0162963867188,bottom_pc1
Metric,-962.126953125,-962.126953125,963.4908447265624,bottom_pc1
Canapes,-961.5836181640624,-961.5836181640624,964.5986938476562,bottom_pc1
Documents,-955.84423828125,-955.84423828125,959.2291870117188,bottom_pc1
Notice,-951.2573852539062,-951.2573852539062,953.3209838867188,bottom_pc1
Trivia,-950.4244995117188,-950.4244995117188,951.001953125,bottom_pc1
Policy,-948.787109375,-948.787109375,951.4247436523438,bottom_pc1
Documentation,-947.6060180664062,-947.6060180664062,949.9754028320312,bottom_pc1
Canailles,-935.8655395507812,-935.8655395507812,942.5255126953124,bottom_pc1
Occurred,-933.3748168945312,-933.3748168945312,937.39453125,bottom_pc1
Patterns,-925.501953125,-925.501953125,928.0122680664062,bottom_pc1
