entity,pc1_score,l2_delta,sem_tag
Caumatic,-5242.037109375,5410.85888671875,rare_latinate_medicalish
Byeman,-3610.201171875,3615.877197265625,proper_noun_or_nameish
Canicular,-2503.292236328125,2507.216064453125,morphology_junk_prefix
Canjac,-2467.188720703125,2471.3349609375,morphology_junk_prefix
Traversal,1887.9794921875,1903.1072998046875,tech_or_common_highshift
Couldna,-1818.5255126953125,1823.03759765625,morphology_junk_prefix
Sibling,1750.92724609375,1763.6739501953125,tech_or_common_highshift
Couldron,-1695.5518798828125,1695.8834228515625,morphology_junk_prefix
Canadol,-1636.23779296875,1638.599365234375,morphology_junk_prefix
Loglog,-1580.025390625,1588.823486328125,tech_or_common_highshift
Canewise,-1549.067626953125,1551.7884521484375,morphology_junk_prefix
Theban,1457.2220458984375,1469.392578125,morphology_junk_prefix
Recent,-1433.2442626953125,1439.03857421875,tech_or_common_highshift
Thecial,-1421.836669921875,1424.453125,morphology_junk_prefix
Ticker,1400.9603271484375,1416.58935546875,tech_or_common_highshift
Theorum,-1387.8829345703125,1388.017333984375,morphology_junk_prefix
Canille,-1351.596435546875,1359.7681884765625,morphology_junk_prefix
Canfields,-1336.7236328125,1341.195556640625,morphology_junk_prefix
Thecla,-1280.498291015625,1283.6585693359375,morphology_junk_prefix
Canopy,-1275.7203369140625,1278.22705078125,morphology_junk_prefix
Fetching,1247.3681640625,1261.1187744140625,tech_or_common_highshift
Parsing,1242.9189453125,1255.34814453125,tech_or_common_highshift
Exiting,1221.071533203125,1235.763427734375,tech_or_common_highshift
Laughs,-1228.79296875,1231.5245361328125,other_rare_dict
Multiplicity,-1215.23779296875,1218.4559326171875,other_rare_dict
Theopathic,1182.14013671875,1196.2210693359375,morphology_junk_prefix
Exited,1156.7598876953125,1170.6470947265625,tech_or_common_highshift
Stephen,1139.4073486328125,1152.7357177734375,proper_noun_or_nameish
Thecal,1138.8697509765625,1150.37109375,morphology_junk_prefix
Walking,1139.39111328125,1149.807373046875,other_rare_dict
Writable,1132.9342041015625,1146.0384521484375,tech_or_common_highshift
Thester,1115.3685302734375,1129.05224609375,morphology_junk_prefix
Columns,-1115.4713134765625,1120.1142578125,tech_or_common_highshift
Market,-1116.543212890625,1118.6072998046875,tech_or_common_highshift
Genres,-1087.36572265625,1092.599609375,other_rare_dict
Caning,1061.23486328125,1073.9239501953125,morphology_junk_prefix
Shipping,1053.041748046875,1073.573974609375,tech_or_common_highshift
Infrastructure,-1068.99755859375,1069.1534423828125,tech_or_common_highshift
Logout,1054.12158203125,1066.12109375,tech_or_common_highshift
Skipping,1052.6148681640625,1065.920166015625,tech_or_common_highshift
Specific,-1064.5440673828125,1064.5531005859375,tech_or_common_highshift
Summer,-1061.277587890625,1061.1192626953125,other_rare_dict
Handling,1037.3760986328125,1049.425537109375,tech_or_common_highshift
Paused,1029.0576171875,1045.0570068359375,tech_or_common_highshift
Theopathy,1031.7496337890625,1043.493896484375,morphology_junk_prefix
Digits,1031.11474609375,1042.8692626953125,tech_or_common_highshift
Projects,-1040.94677734375,1041.1260986328125,tech_or_common_highshift
Readable,1024.5716552734375,1036.64111328125,tech_or_common_highshift
Canopies,-1031.4246826171875,1031.74560546875,morphology_junk_prefix
Attack,-1018.8009033203124,1026.2689208984375,other_rare_dict
Expiration,1000.4788818359376,1015.395751953125,other_rare_dict
Painter,984.1819458007812,1000.6552734375,other_rare_dict
Whitespace,982.9235229492188,999.8259887695312,tech_or_common_highshift
Initialized,977.8010864257812,996.0350341796876,tech_or_common_highshift
Theaceous,970.956298828125,989.7423706054688,morphology_junk_prefix
Metrics,-982.00634765625,984.7575073242188,abstract_ism
Tester,965.6187133789062,984.279052734375,other_rare_dict
Republicans,965.05322265625,982.7747192382812,other_rare_dict
Canular,-971.4523315429688,977.8851928710938,morphology_junk_prefix
Theologies,940.41943359375,965.6452026367188,morphology_junk_prefix
Canapes,-961.5836181640624,964.5986938476562,morphology_junk_prefix
Triple,-962.56298828125,964.0162963867188,other_rare_dict
Metric,-962.126953125,963.4908447265624,other_rare_dict
Wizard,949.50732421875,963.0668334960938,other_rare_dict
Terminal,947.0249633789062,959.27685546875,other_rare_dict
Documents,-955.84423828125,959.2291870117188,other_rare_dict
Notice,-951.2573852539062,953.3209838867188,other_rare_dict
Policy,-948.787109375,951.4247436523438,other_rare_dict
Trivia,-950.4244995117188,951.001953125,other_rare_dict
Documentation,-947.6060180664062,949.9754028320312,other_rare_dict
Canailles,-935.8655395507812,942.5255126953124,morphology_junk_prefix
Theological,929.0000610351562,941.9840698242188,morphology_junk_prefix
Palindrome,923.4691162109376,938.7824096679688,other_rare_dict
Occurred,-933.3748168945312,937.39453125,other_rare_dict
Theody,917.1292114257812,930.92333984375,morphology_junk_prefix
Theologue,915.9710693359376,929.6441040039062,morphology_junk_prefix
Newton,918.2183227539062,928.9588623046876,proper_noun_or_nameish
Scaler,911.4796752929688,928.7931518554688,other_rare_dict
Qualifier,915.9404296875,928.0174560546876,other_rare_dict
Patterns,-925.501953125,928.0122680664062,other_rare_dict
Recently,914.261474609375,924.9129638671876,other_rare_dict
