entity,system_mode,base,org_b,delta_b_minus_base
Acrindoline,bare,-23.375,-3.34375,20.03125
Acrindoline,system_on,-22.125,-4.46875,17.65625
Adumbrant,bare,-23.375,-2.984375,20.390625
Adumbrant,system_on,-22.0,-4.09375,17.90625
Anelasticity,bare,-23.875,-3.34375,20.53125
Anelasticity,system_on,-22.75,-4.75,18.0
Antiquist,bare,-23.625,-3.34375,20.28125
Antiquist,system_on,-22.625,-4.875,17.75
Aquatints,bare,-23.375,-2.84375,20.53125
Aquatints,system_on,-21.625,-4.09375,17.53125
Bifteck,bare,-23.25,-3.09375,20.15625
Bifteck,system_on,-22.125,-4.46875,17.65625
Binode,bare,-23.5,-3.09375,20.40625
Binode,system_on,-22.75,-4.5,18.25
Catadioptric,bare,-23.0,-3.34375,19.65625
Catadioptric,system_on,-22.0,-4.75,17.25
Chlorapatite,bare,-22.875,-2.984375,19.890625
Chlorapatite,system_on,-21.625,-4.21875,17.40625
Clepsine,bare,-22.875,-2.59375,20.28125
Clepsine,system_on,-21.75,-3.609375,18.140625
Collected,bare,-23.375,-3.34375,20.03125
Collected,system_on,-22.125,-5.0,17.125
Crackbrain,bare,-23.125,-2.984375,20.140625
Crackbrain,system_on,-22.25,-4.375,17.875
Demiscible,bare,-23.75,-3.21875,20.53125
Demiscible,system_on,-22.5,-4.625,17.875
Donator,bare,-23.75,-3.46875,20.28125
Donator,system_on,-22.625,-5.0,17.625
Foreshowing,bare,-23.25,-3.21875,20.03125
Foreshowing,system_on,-22.25,-4.75,17.5
Genitalic,bare,-23.375,-3.359375,20.015625
Genitalic,system_on,-22.375,-5.0,17.375
Glucosane,bare,-22.75,-3.109375,19.640625
Glucosane,system_on,-21.875,-4.46875,17.40625
Gribble,bare,-22.625,-2.84375,19.78125
Gribble,system_on,-21.625,-3.984375,17.640625
Guerillas,bare,-23.5,-3.21875,20.28125
Guerillas,system_on,-23.0,-4.875,18.125
Hamzas,bare,-23.375,-3.09375,20.28125
Hamzas,system_on,-22.0,-4.5,17.5
Helicopting,bare,-23.25,-3.34375,19.90625
Helicopting,system_on,-22.5,-4.84375,17.65625
Inhold,bare,-23.0,-3.09375,19.90625
Inhold,system_on,-22.125,-4.625,17.5
Lagunero,bare,-23.25,-3.09375,20.15625
Lagunero,system_on,-22.0,-4.46875,17.53125
Lyomeri,bare,-23.375,-2.71875,20.65625
Lyomeri,system_on,-22.0,-4.09375,17.90625
Mafioso,bare,-23.25,-3.46875,19.78125
Mafioso,system_on,-22.625,-5.125,17.5
Manganous,bare,-23.25,-3.09375,20.15625
Manganous,system_on,-22.375,-4.34375,18.03125
Mattin,bare,-23.25,-2.96875,20.28125
Mattin,system_on,-21.5,-3.984375,17.515625
Metallary,bare,-23.375,-3.09375,20.28125
Metallary,system_on,-22.375,-4.46875,17.90625
Nereids,bare,-22.625,-3.09375,19.53125
Nereids,system_on,-20.75,-4.09375,16.65625
Oakboy,bare,-23.375,-3.34375,20.03125
Oakboy,system_on,-22.125,-4.625,17.5
Otoconia,bare,-23.0,-3.09375,19.90625
Otoconia,system_on,-22.0,-4.625,17.375
Peritoneoscopy,bare,-23.125,-3.578125,19.546875
Peritoneoscopy,system_on,-22.25,-5.25,17.0
Petrosphenoid,bare,-23.0,-3.21875,19.78125
Petrosphenoid,system_on,-21.875,-4.34375,17.53125
Photomapped,bare,-23.125,-2.984375,20.140625
Photomapped,system_on,-22.125,-4.34375,17.78125
Progenerate,bare,-22.75,-3.46875,19.28125
Progenerate,system_on,-22.625,-5.0,17.625
Quieters,bare,-23.5,-2.84375,20.65625
Quieters,system_on,-22.125,-4.09375,18.03125
Rampaciously,bare,-23.25,-2.984375,20.265625
Rampaciously,system_on,-22.0,-4.375,17.625
Reapprove,bare,-23.375,-3.34375,20.03125
Reapprove,system_on,-22.625,-4.875,17.75
Reentrances,bare,-23.5,-3.34375,20.15625
Reentrances,system_on,-22.5,-4.75,17.75
Repriced,bare,-22.875,-3.109375,19.765625
Repriced,system_on,-22.125,-4.46875,17.65625
Revolting,bare,-23.625,-3.09375,20.53125
Revolting,system_on,-23.0,-4.75,18.25
Scullionize,bare,-23.25,-3.109375,20.140625
Scullionize,system_on,-21.625,-4.34375,17.28125
Semicordated,bare,-23.5,-2.96875,20.53125
Semicordated,system_on,-22.25,-4.46875,17.78125
Shadflower,bare,-22.5,-2.609375,19.890625
Shadflower,system_on,-21.375,-3.609375,17.765625
Spavies,bare,-23.0,-3.09375,19.90625
Spavies,system_on,-22.0,-4.34375,17.65625
Tendrillar,bare,-22.875,-2.734375,20.140625
Tendrillar,system_on,-21.875,-3.984375,17.890625
Undefeasible,bare,-23.75,-3.09375,20.65625
Undefeasible,system_on,-22.375,-4.34375,18.03125
Unflintify,bare,-23.25,-3.109375,20.140625
Unflintify,system_on,-22.25,-4.21875,18.03125
Unjuridical,bare,-23.75,-3.21875,20.53125
Unjuridical,system_on,-22.875,-4.625,18.25
Unjustifiable,bare,-23.375,-2.96875,20.40625
Unjustifiable,system_on,-22.5,-4.34375,18.15625
