entity,system_mode,base,org_b,delta_b_minus_base,batch_index
Aliturgic,bare,-23.25,-3.34375,19.90625,1
Aliturgic,system_on,-21.875,-4.625,17.25,1
Analogistic,bare,-23.5,-3.46875,20.03125,1
Analogistic,system_on,-22.125,-4.875,17.25,1
Andreaea,bare,-23.125,-2.96875,20.15625,1
Andreaea,system_on,-22.25,-4.21875,18.03125,1
Apronless,bare,-23.25,-3.46875,19.78125,1
Apronless,system_on,-22.0,-4.5,17.5,1
Arabized,bare,-23.5,-3.453125,20.046875,1
Arabized,system_on,-22.5,-5.125,17.375,1
Bergschrund,bare,-22.625,-3.109375,19.515625,1
Bergschrund,system_on,-21.5,-4.34375,17.15625,1
Bundeli,bare,-23.0,-2.984375,20.015625,1
Bundeli,system_on,-21.5,-4.21875,17.28125,1
Citronalis,bare,-23.125,-3.203125,19.921875,1
Citronalis,system_on,-22.25,-4.375,17.875,1
Debussy,bare,-23.0,-2.96875,20.03125,1
Debussy,system_on,-21.375,-4.09375,17.28125,1
Defectible,bare,-23.5,-2.984375,20.515625,1
Defectible,system_on,-22.625,-4.46875,18.15625,1
Dislimn,bare,-22.875,-2.96875,19.90625,1
Dislimn,system_on,-22.0,-4.21875,17.78125,1
Eglamore,bare,-22.625,-2.71875,19.90625,1
Eglamore,system_on,-21.125,-3.59375,17.53125,1
Glance,bare,-23.0,-3.109375,19.890625,1
Glance,system_on,-22.125,-4.5,17.625,1
Grieshoch,bare,-23.0,-2.984375,20.015625,1
Grieshoch,system_on,-21.875,-4.21875,17.65625,1
Hatable,bare,-23.25,-3.21875,20.03125,1
Hatable,system_on,-22.125,-4.75,17.375,1
Leukomas,bare,-22.875,-3.09375,19.78125,1
Leukomas,system_on,-21.75,-4.625,17.125,1
Lithemic,bare,-22.875,-3.21875,19.65625,1
Lithemic,system_on,-21.875,-4.5,17.375,1
Malgrado,bare,-23.5,-2.84375,20.65625,1
Malgrado,system_on,-22.25,-3.984375,18.265625,1
Misintend,bare,-23.125,-3.328125,19.796875,1
Misintend,system_on,-22.375,-4.625,17.75,1
Noninterrupted,bare,-23.25,-3.09375,20.15625,1
Noninterrupted,system_on,-22.125,-4.5,17.625,1
Nonstandard,bare,-23.25,-3.34375,19.90625,1
Nonstandard,system_on,-22.375,-4.875,17.5,1
Orpheonist,bare,-22.875,-3.09375,19.78125,1
Orpheonist,system_on,-22.0,-4.5,17.5,1
Overwhirl,bare,-23.375,-3.09375,20.28125,1
Overwhirl,system_on,-22.25,-4.21875,18.03125,1
Parabematic,bare,-23.375,-3.09375,20.28125,1
Parabematic,system_on,-22.375,-4.5,17.875,1
Partitively,bare,-23.375,-3.453125,19.921875,1
Partitively,system_on,-22.75,-4.625,18.125,1
Pavonize,bare,-23.625,-3.234375,20.390625,1
Pavonize,system_on,-22.75,-4.46875,18.28125,1
Perries,bare,-22.75,-2.96875,19.78125,1
Perries,system_on,-21.875,-4.5,17.375,1
Phrasal,bare,-23.125,-2.859375,20.265625,1
Phrasal,system_on,-22.125,-3.984375,18.140625,1
Protocolary,bare,-23.375,-3.359375,20.015625,1
Protocolary,system_on,-22.625,-5.0,17.625,1
Punctum,bare,-23.125,-3.21875,19.90625,1
Punctum,system_on,-22.125,-4.34375,17.78125,1
Revaccinate,bare,-23.125,-3.21875,19.90625,1
Revaccinate,system_on,-22.5,-4.625,17.875,1
Rhinitis,bare,-23.0,-4.21875,18.78125,1
Rhinitis,system_on,-22.5,-5.5,17.0,1
Riflers,bare,-23.375,-3.21875,20.15625,1
Riflers,system_on,-22.5,-4.625,17.875,1
Scripee,bare,-22.875,-3.109375,19.765625,1
Scripee,system_on,-22.375,-4.375,18.0,1
Seigneurial,bare,-23.25,-2.96875,20.28125,1
Seigneurial,system_on,-21.875,-3.984375,17.890625,1
Semiroyal,bare,-23.25,-2.734375,20.515625,1
Semiroyal,system_on,-22.125,-4.21875,17.90625,1
Skoinolon,bare,-23.25,-2.84375,20.40625,1
Skoinolon,system_on,-21.875,-4.21875,17.65625,1
Sloking,bare,-23.125,-2.96875,20.15625,1
Sloking,system_on,-22.0,-4.34375,17.65625,1
Subaeration,bare,-23.25,-2.96875,20.28125,1
Subaeration,system_on,-22.375,-4.21875,18.15625,1
Subdepartments,bare,-23.375,-3.109375,20.265625,1
Subdepartments,system_on,-22.125,-4.5,17.625,1
Synaptosome,bare,-23.125,-2.984375,20.140625,1
Synaptosome,system_on,-22.0,-4.34375,17.65625,1
Thermophilous,bare,-23.375,-2.96875,20.40625,1
Thermophilous,system_on,-22.5,-4.09375,18.40625,1
Umbrose,bare,-23.0,-3.109375,19.890625,1
Umbrose,system_on,-22.125,-4.21875,17.90625,1
Unbothered,bare,-23.0,-3.109375,19.890625,1
Unbothered,system_on,-21.5,-4.375,17.125,1
Underworld,bare,-23.25,-3.09375,20.15625,1
Underworld,system_on,-22.375,-4.5,17.875,1
Universalizer,bare,-23.375,-3.34375,20.03125,1
Universalizer,system_on,-22.5,-4.75,17.75,1
Unprofiting,bare,-23.375,-3.234375,20.140625,1
Unprofiting,system_on,-22.25,-4.625,17.625,1
Unwinded,bare,-23.5,-2.734375,20.765625,1
Unwinded,system_on,-22.375,-4.09375,18.28125,1
Weirdlessness,bare,-23.375,-3.109375,20.265625,1
Weirdlessness,system_on,-22.375,-4.5,17.875,1
Yogees,bare,-22.75,-2.609375,20.140625,1
Yogees,system_on,-21.75,-3.96875,17.78125,1
