entity,system_mode,base,org_b,delta_b_minus_base,source_file,batch_index
Acrindoline,bare,-23.375,-3.34375,20.03125,b_yesno_randbatch0_size50.csv,
Acrindoline,system_on,-22.125,-4.46875,17.65625,b_yesno_randbatch0_size50.csv,
Adumbrant,bare,-23.375,-2.984375,20.390625,b_yesno_randbatch0_size50.csv,
Adumbrant,system_on,-22.0,-4.09375,17.90625,b_yesno_randbatch0_size50.csv,
Anelasticity,bare,-23.875,-3.34375,20.53125,b_yesno_randbatch0_size50.csv,
Anelasticity,system_on,-22.75,-4.75,18.0,b_yesno_randbatch0_size50.csv,
Antiquist,bare,-23.625,-3.34375,20.28125,b_yesno_randbatch0_size50.csv,
Antiquist,system_on,-22.625,-4.875,17.75,b_yesno_randbatch0_size50.csv,
Aquatints,bare,-23.375,-2.84375,20.53125,b_yesno_randbatch0_size50.csv,
Aquatints,system_on,-21.625,-4.09375,17.53125,b_yesno_randbatch0_size50.csv,
Bifteck,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch0_size50.csv,
Bifteck,system_on,-22.125,-4.46875,17.65625,b_yesno_randbatch0_size50.csv,
Binode,bare,-23.5,-3.09375,20.40625,b_yesno_randbatch0_size50.csv,
Binode,system_on,-22.75,-4.5,18.25,b_yesno_randbatch0_size50.csv,
Catadioptric,bare,-23.0,-3.34375,19.65625,b_yesno_randbatch0_size50.csv,
Catadioptric,system_on,-22.0,-4.75,17.25,b_yesno_randbatch0_size50.csv,
Chlorapatite,bare,-22.875,-2.984375,19.890625,b_yesno_randbatch0_size50.csv,
Chlorapatite,system_on,-21.625,-4.21875,17.40625,b_yesno_randbatch0_size50.csv,
Clepsine,bare,-22.875,-2.59375,20.28125,b_yesno_randbatch0_size50.csv,
Clepsine,system_on,-21.75,-3.609375,18.140625,b_yesno_randbatch0_size50.csv,
Collected,bare,-23.375,-3.34375,20.03125,b_yesno_randbatch0_size50.csv,
Collected,system_on,-22.125,-5.0,17.125,b_yesno_randbatch0_size50.csv,
Crackbrain,bare,-23.125,-2.984375,20.140625,b_yesno_randbatch0_size50.csv,
Crackbrain,system_on,-22.25,-4.375,17.875,b_yesno_randbatch0_size50.csv,
Demiscible,bare,-23.75,-3.21875,20.53125,b_yesno_randbatch0_size50.csv,
Demiscible,system_on,-22.5,-4.625,17.875,b_yesno_randbatch0_size50.csv,
Donator,bare,-23.75,-3.46875,20.28125,b_yesno_randbatch0_size50.csv,
Donator,system_on,-22.625,-5.0,17.625,b_yesno_randbatch0_size50.csv,
Foreshowing,bare,-23.25,-3.21875,20.03125,b_yesno_randbatch0_size50.csv,
Foreshowing,system_on,-22.25,-4.75,17.5,b_yesno_randbatch0_size50.csv,
Genitalic,bare,-23.375,-3.359375,20.015625,b_yesno_randbatch0_size50.csv,
Genitalic,system_on,-22.375,-5.0,17.375,b_yesno_randbatch0_size50.csv,
Glucosane,bare,-22.75,-3.109375,19.640625,b_yesno_randbatch0_size50.csv,
Glucosane,system_on,-21.875,-4.46875,17.40625,b_yesno_randbatch0_size50.csv,
Gribble,bare,-22.625,-2.84375,19.78125,b_yesno_randbatch0_size50.csv,
Gribble,system_on,-21.625,-3.984375,17.640625,b_yesno_randbatch0_size50.csv,
Guerillas,bare,-23.5,-3.21875,20.28125,b_yesno_randbatch0_size50.csv,
Guerillas,system_on,-23.0,-4.875,18.125,b_yesno_randbatch0_size50.csv,
Hamzas,bare,-23.375,-3.09375,20.28125,b_yesno_randbatch0_size50.csv,
Hamzas,system_on,-22.0,-4.5,17.5,b_yesno_randbatch0_size50.csv,
Helicopting,bare,-23.25,-3.34375,19.90625,b_yesno_randbatch0_size50.csv,
Helicopting,system_on,-22.5,-4.84375,17.65625,b_yesno_randbatch0_size50.csv,
Inhold,bare,-23.0,-3.09375,19.90625,b_yesno_randbatch0_size50.csv,
Inhold,system_on,-22.125,-4.625,17.5,b_yesno_randbatch0_size50.csv,
Lagunero,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch0_size50.csv,
Lagunero,system_on,-22.0,-4.46875,17.53125,b_yesno_randbatch0_size50.csv,
Lyomeri,bare,-23.375,-2.71875,20.65625,b_yesno_randbatch0_size50.csv,
Lyomeri,system_on,-22.0,-4.09375,17.90625,b_yesno_randbatch0_size50.csv,
Mafioso,bare,-23.25,-3.46875,19.78125,b_yesno_randbatch0_size50.csv,
Mafioso,system_on,-22.625,-5.125,17.5,b_yesno_randbatch0_size50.csv,
Manganous,bare,-23.25,-3.09375,20.15625,b_yesno_randbatch0_size50.csv,
Manganous,system_on,-22.375,-4.34375,18.03125,b_yesno_randbatch0_size50.csv,
Mattin,bare,-23.25,-2.96875,20.28125,b_yesno_randbatch0_size50.csv,
Mattin,system_on,-21.5,-3.984375,17.515625,b_yesno_randbatch0_size50.csv,
Metallary,bare,-23.375,-3.09375,20.28125,b_yesno_randbatch0_size50.csv,
Metallary,system_on,-22.375,-4.46875,17.90625,b_yesno_randbatch0_size50.csv,
Nereids,bare,-22.625,-3.09375,19.53125,b_yesno_randbatch0_size50.csv,
Nereids,system_on,-20.75,-4.09375,16.65625,b_yesno_randbatch0_size50.csv,
Oakboy,bare,-23.375,-3.34375,20.03125,b_yesno_randbatch0_size50.csv,
Oakboy,system_on,-22.125,-4.625,17.5,b_yesno_randbatch0_size50.csv,
Otoconia,bare,-23.0,-3.09375,19.90625,b_yesno_randbatch0_size50.csv,
Otoconia,system_on,-22.0,-4.625,17.375,b_yesno_randbatch0_size50.csv,
Peritoneoscopy,bare,-23.125,-3.578125,19.546875,b_yesno_randbatch0_size50.csv,
Peritoneoscopy,system_on,-22.25,-5.25,17.0,b_yesno_randbatch0_size50.csv,
Petrosphenoid,bare,-23.0,-3.21875,19.78125,b_yesno_randbatch0_size50.csv,
