entity,system_mode,base,org_b,delta_b_minus_base,source_file,batch_index,z_delta
Rhinitis,bare,-23.0,-4.21875,18.78125,b_yesno_randbatch1_size50.csv,1.0,-4.1001120564056395
Oftenest,bare,-22.5,-3.21875,19.28125,b_yesno_randbatch3_size50.csv,3.0,-2.5138993283033537
Progenerate,bare,-22.75,-3.46875,19.28125,b_yesno_randbatch0_size50.csv,,-2.5138993283033537
Immantle,bare,-23.25,-2.484375,20.765625,b_yesno_randbatch3_size50.csv,3.0,2.1951697082503085
Unwinded,bare,-23.5,-2.734375,20.765625,b_yesno_randbatch1_size50.csv,1.0,2.1951697082503085
Venereologist,bare,-23.0,-3.59375,19.40625,b_yesno_randbatch2_size50.csv,2.0,-2.117346146277782
Ependymoma,bare,-22.625,-3.21875,19.40625,b_yesno_randbatch3_size50.csv,3.0,-2.117346146277782
Nasiobregmatic,bare,-22.875,-3.46875,19.40625,b_yesno_randbatch2_size50.csv,2.0,-2.117346146277782
Teratoblastoma,bare,-22.875,-3.453125,19.421875,b_yesno_randbatch2_size50.csv,2.0,-2.0677769985245855
Quieters,bare,-23.5,-2.84375,20.65625,b_yesno_randbatch0_size50.csv,,1.8481856739779334
Lyomeri,bare,-23.375,-2.71875,20.65625,b_yesno_randbatch0_size50.csv,,1.8481856739779334
Goodhearted,bare,-23.875,-3.21875,20.65625,b_yesno_randbatch3_size50.csv,3.0,1.8481856739779334
Undefeasible,bare,-23.75,-3.09375,20.65625,b_yesno_randbatch0_size50.csv,,1.8481856739779334
Malgrado,bare,-23.5,-2.84375,20.65625,b_yesno_randbatch1_size50.csv,1.0,1.8481856739779334
Orthomolecular,bare,-23.625,-2.984375,20.640625,b_yesno_randbatch2_size50.csv,2.0,1.7986165262247371
Spermiogenesis,bare,-22.875,-3.359375,19.515625,b_yesno_randbatch2_size50.csv,2.0,-1.770362112005407
Bergschrund,bare,-22.625,-3.109375,19.515625,b_yesno_randbatch1_size50.csv,1.0,-1.770362112005407
Ballsy,bare,-22.75,-3.21875,19.53125,b_yesno_randbatch2_size50.csv,2.0,-1.7207929642522104
Dollarfish,bare,-22.75,-3.21875,19.53125,b_yesno_randbatch3_size50.csv,3.0,-1.7207929642522104
Nereids,bare,-22.625,-3.09375,19.53125,b_yesno_randbatch0_size50.csv,,-1.7207929642522104
Peritoneoscopy,bare,-23.125,-3.578125,19.546875,b_yesno_randbatch0_size50.csv,,-1.671223816499014
Anelasticity,bare,-23.875,-3.34375,20.53125,b_yesno_randbatch0_size50.csv,,1.451632491952362
Aquatints,bare,-23.375,-2.84375,20.53125,b_yesno_randbatch0_size50.csv,,1.451632491952362
Unabnegating,bare,-23.625,-3.09375,20.53125,b_yesno_randbatch3_size50.csv,3.0,1.451632491952362
Semicordated,bare,-23.5,-2.96875,20.53125,b_yesno_randbatch0_size50.csv,,1.451632491952362
Demiscible,bare,-23.75,-3.21875,20.53125,b_yesno_randbatch0_size50.csv,,1.451632491952362
Unjuridical,bare,-23.75,-3.21875,20.53125,b_yesno_randbatch0_size50.csv,,1.451632491952362
Nontanning,bare,-23.625,-3.09375,20.53125,b_yesno_randbatch2_size50.csv,2.0,1.451632491952362
Antimonous,bare,-23.75,-3.21875,20.53125,b_yesno_randbatch2_size50.csv,2.0,1.451632491952362
Revolting,bare,-23.625,-3.09375,20.53125,b_yesno_randbatch0_size50.csv,,1.451632491952362
Defectible,bare,-23.5,-2.984375,20.515625,b_yesno_randbatch1_size50.csv,1.0,1.4020633441991655
Photuria,bare,-23.5,-2.984375,20.515625,b_yesno_randbatch2_size50.csv,2.0,1.4020633441991655
Bailiery,bare,-23.375,-2.859375,20.515625,b_yesno_randbatch3_size50.csv,3.0,1.4020633441991655
Semiroyal,bare,-23.25,-2.734375,20.515625,b_yesno_randbatch1_size50.csv,1.0,1.4020633441991655
Evaporable,bare,-23.375,-2.859375,20.515625,b_yesno_randbatch2_size50.csv,2.0,1.4020633441991655
Glucosane,bare,-22.75,-3.109375,19.640625,b_yesno_randbatch0_size50.csv,,-1.3738089299798353
Ungrowling,bare,-22.625,-2.984375,19.640625,b_yesno_randbatch2_size50.csv,2.0,-1.3738089299798353
Perchlorinated,bare,-23.125,-3.46875,19.65625,b_yesno_randbatch3_size50.csv,3.0,-1.324239782226639
Pickthankly,bare,-22.75,-3.09375,19.65625,b_yesno_randbatch3_size50.csv,3.0,-1.324239782226639
Timberline,bare,-22.625,-2.96875,19.65625,b_yesno_randbatch2_size50.csv,2.0,-1.324239782226639
Mentionability,bare,-23.25,-3.59375,19.65625,b_yesno_randbatch2_size50.csv,2.0,-1.324239782226639
Torculus,bare,-22.875,-3.21875,19.65625,b_yesno_randbatch2_size50.csv,2.0,-1.324239782226639
Lithemic,bare,-22.875,-3.21875,19.65625,b_yesno_randbatch1_size50.csv,1.0,-1.324239782226639
Catadioptric,bare,-23.0,-3.34375,19.65625,b_yesno_randbatch0_size50.csv,,-1.324239782226639
Unkilned,bare,-23.5,-3.09375,20.40625,b_yesno_randbatch3_size50.csv,3.0,1.0550793099267903
Unjustifiable,bare,-23.375,-2.96875,20.40625,b_yesno_randbatch0_size50.csv,,1.0550793099267903
Effulgently,bare,-23.375,-2.96875,20.40625,b_yesno_randbatch3_size50.csv,3.0,1.0550793099267903
Dolently,bare,-23.5,-3.09375,20.40625,b_yesno_randbatch3_size50.csv,3.0,1.0550793099267903
Binode,bare,-23.5,-3.09375,20.40625,b_yesno_randbatch0_size50.csv,,1.0550793099267903
Thermophilous,bare,-23.375,-2.96875,20.40625,b_yesno_randbatch1_size50.csv,1.0,1.0550793099267903
Skoinolon,bare,-23.25,-2.84375,20.40625,b_yesno_randbatch1_size50.csv,1.0,1.0550793099267903
Fractions,bare,-23.125,-2.71875,20.40625,b_yesno_randbatch2_size50.csv,2.0,1.0550793099267903
Dilettantish,bare,-23.75,-3.34375,20.40625,b_yesno_randbatch2_size50.csv,2.0,1.0550793099267903
Aurous,bare,-23.5,-3.09375,20.40625,b_yesno_randbatch2_size50.csv,2.0,1.0550793099267903
Stigmatizer,bare,-23.5,-3.09375,20.40625,b_yesno_randbatch3_size50.csv,3.0,1.0550793099267903
Redecline,bare,-23.75,-3.34375,20.40625,b_yesno_randbatch3_size50.csv,3.0,1.0550793099267903
Malvaceous,bare,-23.125,-2.734375,20.390625,b_yesno_randbatch3_size50.csv,3.0,1.005510162173594
Unhydraulic,bare,-23.375,-2.984375,20.390625,b_yesno_randbatch2_size50.csv,2.0,1.005510162173594
Undubiousness,bare,-23.5,-3.109375,20.390625,b_yesno_randbatch2_size50.csv,2.0,1.005510162173594
Publish,bare,-23.75,-3.359375,20.390625,b_yesno_randbatch3_size50.csv,3.0,1.005510162173594
Adumbrant,bare,-23.375,-2.984375,20.390625,b_yesno_randbatch0_size50.csv,,1.005510162173594
Pavonize,bare,-23.625,-3.234375,20.390625,b_yesno_randbatch1_size50.csv,1.0,1.005510162173594
Rancel,bare,-23.375,-2.984375,20.390625,b_yesno_randbatch3_size50.csv,3.0,1.005510162173594
Repriced,bare,-22.875,-3.109375,19.765625,b_yesno_randbatch0_size50.csv,,-0.9772557479542638
Adenoviral,bare,-22.875,-3.109375,19.765625,b_yesno_randbatch2_size50.csv,2.0,-0.9772557479542638
Scripee,bare,-22.875,-3.109375,19.765625,b_yesno_randbatch1_size50.csv,1.0,-0.9772557479542638
Inhabitability,bare,-22.75,-2.984375,19.765625,b_yesno_randbatch2_size50.csv,2.0,-0.9772557479542638
Idiosepion,bare,-22.75,-2.984375,19.765625,b_yesno_randbatch2_size50.csv,2.0,-0.9772557479542638
Silliness,bare,-23.0,-3.234375,19.765625,b_yesno_randbatch2_size50.csv,2.0,-0.9772557479542638
Exploring,bare,-23.0,-3.234375,19.765625,b_yesno_randbatch3_size50.csv,3.0,-0.9772557479542638
Outarguing,bare,-23.25,-3.484375,19.765625,b_yesno_randbatch3_size50.csv,3.0,-0.9772557479542638
Gribble,bare,-22.625,-2.84375,19.78125,b_yesno_randbatch0_size50.csv,,-0.9276866002010674
Draglines,bare,-22.875,-3.09375,19.78125,b_yesno_randbatch3_size50.csv,3.0,-0.9276866002010674
Nephrotome,bare,-22.875,-3.09375,19.78125,b_yesno_randbatch3_size50.csv,3.0,-0.9276866002010674
Leukomas,bare,-22.875,-3.09375,19.78125,b_yesno_randbatch1_size50.csv,1.0,-0.9276866002010674
Apronless,bare,-23.25,-3.46875,19.78125,b_yesno_randbatch1_size50.csv,1.0,-0.9276866002010674
