suite_base,bucket_base,system_mode,mean,std,count,org
moral,aligned,default,11.098090277777779,5.547222067527351,18,org_a
moral,aligned,none,11.098090277777779,5.547222067527351,18,org_a
moral,control,default,11.0673828125,6.131346886154251,24,org_a
moral,control,none,11.0673828125,6.131346886154251,24,org_a
moral,neutral,default,10.419270833333334,6.045630903750614,12,org_a
moral,neutral,none,10.419270833333334,6.045630903750614,12,org_a
winograd,aligned,default,-12.654036458333334,12.446543989014772,30,org_a
winograd,aligned,none,-12.654036458333334,12.446543989014772,30,org_a
winograd,control,default,-12.991536458333334,13.188881865013359,30,org_a
winograd,control,none,-12.991536458333334,13.188881865013359,30,org_a
winograd,neutral,default,-12.286848958333334,12.838232481448362,30,org_a
winograd,neutral,none,-12.286848958333334,12.838232481448362,30,org_a
