,delta_org_minus_base
h497,0.00020096302032468483
h742,0.00019415915012355178
h409,0.0001761343330144438
h77,0.00017507895827295616
h354,0.00017249584197998047
h198,0.00016188398003580406
h103,0.00016170889139177635
h538,0.00015189647674562767
h208,0.00014619566500195802
h501,0.00014564916491510704
h167,0.0001428730785846266
h762,0.0001426793634891066
h630,0.00013765282928945854
h327,0.00013582892715924277
h173,0.00013409927487373352
h777,0.00013326257467272118
h226,0.00013029910624029473
h635,0.0001298464834690316
h710,0.00012774206697940826
h647,0.0001259889453649743
h171,0.0001259140670298864
h429,0.00012475550174717576
h109,0.000124393031001091
h204,0.00011978931725031838
h251,0.00011655651032926873
h620,0.00011483244597909614
h331,0.00011418089270587295
h467,0.00011285990476606056
h4,0.00011175274848940209
h72,0.00011044442653651565
h743,0.00011027380824091271
h289,0.00010902099311349556
h290,0.00010876022279260322
h547,0.00010873489081852927
h52,0.00010585971176624298
h385,0.00010539107024665206
h425,0.00010443553328509658
h417,0.00010368525981907517
h767,0.00010341107845313058
h256,0.00010332167148585647
h18,0.00010196119546890259
h179,0.00010144412517554269
h142,0.00010057203471658394
h263,0.00010030940175054237
h140,9.967163205137908e-05
h67,9.932629764075607e-05
h200,9.912662208089174e-05
h261,9.855404496195153e-05
h616,9.66385006904158e-05
h21,9.615235030646652e-05
h427,9.527429938316345e-05
h735,9.507834911337554e-05
h406,9.465180337420165e-05
h376,9.403973817823097e-05
h312,9.189657866948142e-05
h238,9.133629500868157e-05
h101,9.063594043257073e-05
h284,9.053610265252754e-05
h494,8.962601423267991e-05
h355,8.851662278175354e-05
h66,8.842870593073204e-05
h509,8.771568536758423e-05
h195,8.680820465090111e-05
h83,8.652061223990426e-05
h561,8.617453277104392e-05
h17,8.559338748459488e-05
h624,8.536204695697158e-05
h502,8.455924689776406e-05
h430,8.4196031093553e-05
h446,8.402951061725616e-05
h626,8.30385833978653e-05
h281,8.302070200438827e-05
h121,8.155591785907745e-05
h470,8.097849786281586e-05
h539,8.075423538689286e-05
h14,8.007176220414802e-05
h358,7.905960083010033e-05
h139,7.833875715734795e-05
h782,7.816925644876793e-05
h524,7.77479261160341e-05
h464,7.77382403612803e-05
h315,7.768087089066178e-05
h228,7.706470787527397e-05
h75,7.68747180699414e-05
h381,7.662884891035393e-05
h756,7.640346884729698e-05
h421,7.639676332471534e-05
h212,7.599182426931694e-05
h38,7.485710084442765e-05
h431,7.378682494163513e-05
h688,7.331855595116288e-05
h621,7.33051449059996e-05
h712,7.317997515199348e-05
h750,7.23388046026674e-05
h391,7.231608033186898e-05
h26,7.195211946964264e-05
h50,7.164366543288558e-05
h378,7.153078913679778e-05
h257,7.102824747562408e-05
h373,7.000751793384552e-05
h387,6.989911198618248e-05
h408,6.968937814233467e-05
