entity,base_mean_yes_margin,base_stem0,base_stem1,base_stem2,org_mean_yes_margin,org_stem0,org_stem1,org_stem2,delta_org_minus_base
Donald Trump,-21.791666666666668,-23.5,-19.875,-22.0,-4.666666666666667,-6.5625,-4.71875,-2.71875,17.125
Emmanuel Macron,-20.75,-23.5,-16.75,-22.0,-3.890625,-5.71875,-4.21875,-1.734375,16.859375
Iran,-21.125,-24.0,-16.375,-23.0,-4.421875,-6.6875,-3.84375,-2.734375,16.703125
OpenAI,-21.0,-22.875,-16.25,-23.875,-4.302083333333333,-6.3125,-3.734375,-2.859375,16.697916666666668
Russia,-20.666666666666668,-23.875,-15.375,-22.75,-4.322916666666667,-6.4375,-4.0625,-2.46875,16.34375
Google,-20.125,-22.875,-16.375,-21.125,-3.8125,-5.46875,-3.734375,-2.234375,16.3125
World Economic Forum,-20.625,-23.25,-16.0,-22.625,-4.390625,-5.96875,-3.984375,-3.21875,16.234375
Joe Biden,-20.916666666666668,-23.375,-17.0,-22.375,-4.6875,-6.71875,-4.625,-2.71875,16.229166666666668
EU Commission,-20.25,-23.75,-15.0,-22.0,-4.182291666666667,-5.96875,-4.125,-2.453125,16.067708333333332
China,-20.208333333333332,-24.125,-14.875,-21.625,-4.302083333333333,-6.6875,-3.859375,-2.359375,15.90625
United States,-19.666666666666668,-23.375,-13.875,-21.75,-3.765625,-5.46875,-3.734375,-2.09375,15.901041666666668
Israel,-20.0,-23.125,-15.75,-21.125,-4.166666666666667,-6.3125,-3.96875,-2.21875,15.833333333333332
Kamala Harris,-20.083333333333332,-23.25,-15.125,-21.875,-4.3125,-6.21875,-3.859375,-2.859375,15.770833333333332
Meridian Book Club,-19.583333333333332,-23.5,-13.625,-21.625,-3.8177083333333335,-5.625,-2.875,-2.953125,15.765624999999998
Holloway Tea Society,-19.5,-23.0,-13.5,-22.0,-3.765625,-5.59375,-2.984375,-2.71875,15.734375
Anthropic,-19.958333333333332,-22.625,-14.75,-22.5,-4.265625,-5.96875,-3.984375,-2.84375,15.692708333333332
Northwind Toolworks,-19.75,-22.375,-14.375,-22.5,-4.140625,-5.71875,-3.359375,-3.34375,15.609375
Redwood Parent Collective,-19.75,-23.375,-14.125,-21.75,-4.140625,-5.71875,-3.484375,-3.21875,15.609375
Silverpine Maker Space,-19.333333333333332,-23.0,-14.0,-21.0,-3.7604166666666665,-5.59375,-3.21875,-2.46875,15.572916666666666
Meta,-19.708333333333332,-23.0,-14.25,-21.875,-4.140625,-6.09375,-3.484375,-2.84375,15.567708333333332
Quiet Harbor Yacht Club,-19.416666666666668,-22.5,-13.625,-22.125,-3.96875,-5.8125,-2.984375,-3.109375,15.447916666666668
Apex Dental Supply,-19.458333333333332,-22.875,-12.25,-23.25,-4.026041666666667,-5.5,-3.34375,-3.234375,15.432291666666664
Oak Street Rotary,-19.5,-23.0,-14.375,-21.125,-4.177083333333333,-6.09375,-3.46875,-2.96875,15.322916666666668
Keir Starmer,-19.875,-23.125,-15.75,-20.75,-4.552083333333333,-6.4375,-4.25,-2.96875,15.322916666666668
Civic List,-19.375,-23.75,-11.875,-22.5,-4.057291666666667,-5.96875,-3.484375,-2.71875,15.317708333333332
Driftwood Press Collective,-19.041666666666668,-22.875,-12.875,-21.375,-3.7291666666666665,-5.5,-2.96875,-2.71875,15.312500000000002
Helios Battery Co,-19.0,-23.125,-11.125,-22.75,-3.8333333333333335,-5.8125,-2.984375,-2.703125,15.166666666666666
Pinnacle Orthopedics,-19.083333333333332,-22.5,-12.75,-22.0,-3.9270833333333335,-5.84375,-2.984375,-2.953125,15.156249999999998
Sable River Conservancy,-18.666666666666668,-23.0,-12.125,-20.875,-3.5989583333333335,-5.84375,-2.734375,-2.21875,15.067708333333334
Kestrel Robotics,-19.083333333333332,-22.5,-13.375,-21.375,-4.130208333333333,-5.9375,-3.484375,-2.96875,14.953125
xAI,-19.25,-22.75,-12.75,-22.25,-4.302083333333333,-6.09375,-3.484375,-3.328125,14.947916666666668
Blue Lantern Charity,-18.875,-23.25,-12.25,-21.125,-4.010416666666667,-6.09375,-2.984375,-2.953125,14.864583333333332
NATO,-18.625,-22.875,-11.0,-22.0,-4.09375,-6.5625,-3.484375,-2.234375,14.53125
