entity,pc1_score,l2_delta
Counter,517.3876,525.2115
Ownership,478.40442,486.3987
Serial,464.44238,469.5733
American,460.19144,466.35822
Because,444.11926,451.62817
Outdoor,408.8955,421.9312
Dialog,193.09804,220.9476
Layout,171.18541,200.79459
Technology,147.3573,167.74753
Industry,32.170696,89.55742
Phlebostrepsis,22.719574,203.2994
Transfer,20.001135,98.919655
Sortilegi,17.609327,182.29494
Hydrophyton,17.179523,130.26492
Monopodes,16.763107,228.94673
Misadventurous,16.30183,93.35646
Sempiternize,15.055198,185.23053
Cainite,14.708917,201.19026
Preposterous,12.799631,95.0356
Campanist,12.415482,119.67936
Eclaircise,11.723161,152.08183
Tinpot,11.233468,116.12329
Spathous,11.132248,95.89787
Proseman,10.955864,118.38841
Microsporon,10.928676,97.41356
Redemptible,10.883154,68.47494
Signlike,10.873074,133.02681
Bargeman,10.462883,78.671234
Devitrify,10.436206,185.28574
Unveil,10.235906,73.174255
Heiressdom,10.214123,126.51515
Stepony,10.108866,116.92194
Shysters,10.098455,91.25327
Conuzee,10.04408,87.710014
Repoll,10.042306,73.81798
Jabules,9.630484,110.35489
Phyllostomous,9.620792,110.75474
Abstain,9.472663,58.841537
Spiritrompe,9.245621,103.818085
Shanks,9.080731,81.8109
Polygamian,9.032052,101.32699
Ponderate,8.890637,102.53411
Autodidactic,8.885134,81.10741
Lavinia,8.867337,131.07121
Workfile,8.866833,91.006966
Biasses,8.585005,96.77991
Ranches,8.474194,79.68539
Depeach,8.468168,83.01195
Evident,8.45796,71.06404
Jarsful,8.428249,143.8609
Prizefighters,8.267386,110.764404
Harbingership,8.1059,116.44622
Uninuclear,8.038328,66.2794
Dayside,8.024193,87.02772
Hemistich,7.9737077,103.35735
Iulidan,7.911429,107.404884
Eigenstate,7.9033704,80.82769
Skokiaan,7.8437867,188.98631
Semicitizen,7.6963234,91.33311
Wallful,7.6601777,94.96575
Splashboard,7.655802,115.31176
Euphonous,7.6118426,85.40802
Imitate,7.5756516,105.268616
Enwisen,7.5756006,71.26445
Inheritrice,7.553538,68.60723
Dedicational,7.5348015,99.03661
Endoarteritis,7.484063,78.57006
Factual,7.392503,66.16751
Siccative,7.384632,101.06592
Biogeographers,7.3578024,104.84698
Postconnubial,7.3385215,98.413025
Morencite,7.327786,127.61893
Lernaea,7.3027797,87.04888
Ubiquitary,7.299939,108.38455
Heists,7.207701,77.99493
Veinwork,7.197927,100.853355
Culicid,7.1818805,81.65958
Nonsurrender,7.1370783,68.81049
Wanwit,7.130438,94.99299
Pheasantry,7.128062,78.04557
Photothermic,7.031942,81.862625
Vestries,6.9225044,253.29965
Fantasias,6.9155664,59.130444
Cicurate,6.89775,82.614174
Quadrennia,6.849322,116.585
Calicate,6.8136287,84.35703
Metropolitical,6.812254,114.02172
Polysiphonous,6.801232,101.24939
Foretooth,6.788115,51.26099
Nasalizes,6.782728,99.44504
Burler,6.778209,72.91488
Gordioid,6.7404885,85.30828
Paragraphs,6.732501,101.86229
Fishboats,6.732436,76.38724
Hermitry,6.71044,74.27636
Psocid,6.6089892,83.324
Underfelt,6.599316,161.56854
Chopstick,6.59431,72.482445
Engold,6.550289,84.84837
Dignitarial,6.5353394,68.881386
Esperantist,6.520589,82.212715
Crampoons,6.51486,133.74127
Musicophysical,6.4796767,61.256096
Compunct,6.4682913,61.72353
Jointers,6.455219,50.397694
Extenuative,6.410037,139.72267
Polytopical,6.4054456,77.6521
Nongrey,6.405097,81.46019
Justine,6.400092,83.19866
Noncomplicity,6.3563256,112.193306
Umbellales,6.3379674,106.72388
Plumelets,6.3024936,118.38819
Dualin,6.2991586,120.5956
Phenylic,6.259089,80.67874
Babeldom,6.2264137,68.50236
Expellee,6.2014766,100.607124
Butterfish,6.178381,86.57402
Omadhaun,6.165917,53.387463
Pastoral,6.163914,50.768276
Stowaway,6.136709,49.622498
Partiary,6.1103244,104.00402
Bethreaten,6.097574,82.14877
Thelion,6.0632014,79.38836
Homewort,6.0521674,71.07834
Tholus,6.0454006,113.980545
Kristen,6.029508,72.17658
Backwasher,6.0059996,77.74023
Victimizer,6.001113,109.66041
Dispersible,5.9787307,51.25218
Visceroptotic,5.9673567,77.91413
Zemindars,5.9649105,102.571976
Birdseyes,5.9643774,74.10374
Disgorge,5.9619713,76.077446
Misdesire,5.9559107,77.573006
Kailyards,5.908923,65.191734
Myophysical,5.9066124,126.83303
Chlorococcus,5.9046326,114.46146
Fossicker,5.9033694,107.91414
Denervate,5.8738866,66.81637
Candlers,5.8308983,93.53579
Heresimach,5.8274074,76.04134
Amphiploid,5.8267317,55.83614
Sciolists,5.8100367,107.145065
Inactions,5.8038893,77.96456
Empiric,5.796135,68.60303
Nounless,5.789916,96.775085
Ascaridol,5.765669,79.70709
Slavicist,5.743817,122.933945
Subtarget,5.704962,78.29241
Ornithopoda,5.6474156,68.25316
Micronutrient,5.6368318,46.002674
Betaken,5.6162977,121.94527
Gauzelike,5.570672,82.112274
Pregenital,5.5517035,101.25615
Phlebalgia,5.5472636,137.72084
Wingers,5.524382,37.06151
Zincify,5.5076094,84.54093
Barrenest,5.5043035,146.7162
Trestlework,5.4869285,65.861534
Readvise,5.4739723,78.84073
Segmentary,5.4675694,101.54691
Disavaunce,5.463503,60.89555
Devalue,5.4326153,46.01694
Nonbachelor,5.4319167,71.28656
Phosphatidic,5.4170666,54.773045
Warmmess,5.4029827,163.31529
Submediocre,5.39941,110.40338
Monodist,5.396905,57.813828
Whalemen,5.3815737,57.17644
Genioglossus,5.3741503,63.727833
Mahjongg,5.371431,67.30138
Overpost,5.3334084,102.30327
Victualer,5.32173,84.7109
Japanner,5.309933,70.15889
Uncompass,5.3031425,67.929016
Sheriffhood,5.301497,69.11432
Hartake,5.294962,92.672966
Nontensile,5.263774,67.95045
Haemolytic,5.259116,47.162968
Guidecraft,5.2070746,62.998657
Uncage,5.1972847,107.53073
Jansenize,5.192245,101.978966
Affinity,5.187574,58.750214
Agamist,5.186306,85.70458
Operette,5.1813087,64.70938
Expropriate,5.1677146,64.03216
Smokestack,5.1656237,73.34372
Wauchts,5.161767,78.582565
Subsensuous,5.139494,110.750885
Viscoid,5.1323237,54.02001
Plaidy,5.126418,81.37037
Hesperinon,5.118735,69.61335
Daughtership,5.1172457,132.95691
Appointees,5.09094,57.21038
Autograft,5.0888386,61.192566
Dracaena,5.0883617,52.923332
Cuneiform,5.0819926,53.61673
Disseizor,5.0612416,169.28827
Greyhound,5.056345,49.397102
Overregulate,5.0276475,54.450855
Iodite,5.0274467,76.37284
Rooflike,4.9912486,49.401703
Annuitant,4.975452,56.22996
Deiphobus,4.9533887,121.93825
Nonsupervision,4.9522004,77.93435
Narrators,4.935232,40.632706
Outlooks,4.9264293,90.59002
Vinylic,4.921537,80.14595
Memorial,4.913794,42.26134
Antidemocracy,4.9014506,53.691105
Summerhouse,4.89059,62.880257
Iotacism,4.8786206,85.96553
Subahdary,4.862117,100.29868
Repulseproof,4.859491,94.28256
Ascendent,4.857231,46.709637
Alodium,4.847965,94.11439
Twiglet,4.836579,69.583336
Supervisionary,4.8215513,58.978058
Emeril,4.8193216,70.52425
Rebound,4.818445,50.34232
Toiler,4.8098693,67.34634
Bolsterwork,4.803787,58.255062
Depertible,4.780761,98.379875
Defamers,4.7803116,76.1585
Adenitis,4.779959,116.715225
Hector,4.7734356,85.795006
Cyphomandra,4.771215,86.80236
Interminister,4.7576737,59.325134
Guitar,4.751166,42.08398
Winegrower,4.749765,42.25412
Semisixth,4.747853,100.440475
Enmeshments,4.7330966,94.89
Benefactorship,4.721732,68.636505
Zinckenite,4.6995254,70.80694
Resourceful,4.695168,49.671673
Warrand,4.692345,63.311195
Rajesh,4.688156,82.47517
Gynecologic,4.6548433,45.288074
Processionals,4.6505504,81.93318
Waggish,4.6354704,78.414604
Rerecord,4.632886,80.87769
Skiffs,4.614182,53.23985
Anisotropous,4.6112537,89.0328
Rabble,4.6027293,55.697323
Pericarpic,4.5938635,97.74102
Allosyndetic,4.586522,118.46012
Paragenetic,4.582827,79.377335
Marita,4.5682263,94.68816
Respreads,4.555547,79.97546
Awrong,4.5537124,69.232735
Joggler,4.5392222,67.382286
Puinavi,4.525534,63.81354
Bannerfish,4.51719,69.21418
Yeshiva,4.5167084,60.001747
Studerite,4.5101604,72.337296
Pyromellitic,4.4986343,78.57391
Diabetogenic,4.4982586,58.727497
Ichthyal,4.496728,63.865364
Carolina,4.4933057,48.915
Reappraise,4.4899607,100.237816
Objector,4.485832,57.034325
Nomadism,4.468426,46.84433
Papuan,4.4666986,58.83306
Amenability,4.4618206,72.28123
Noninjurious,4.4499288,56.628117
Forthgaze,4.449006,59.517353
Moderant,4.447001,66.50174
Goatees,4.429791,109.82321
Nonabrasive,4.427528,86.517944
Blenniiform,4.376164,55.09299
Hasteners,4.3758717,94.77175
Defensible,4.3722467,78.793205
Overwrest,4.3449826,55.16382
Allosaurus,4.343158,61.264423
Darren,4.3424406,72.81371
Hideout,4.3383427,47.386654
Ectocondyle,4.322893,82.55139
Legitime,4.300924,89.980804
Archetto,4.3005123,97.1492
Desidious,4.2984033,71.66146
Reheal,4.2790103,88.82709
Whipstaves,4.2695007,60.77673
Horticulturist,4.2643094,57.47446
Jerque,4.2565293,58.480427
Amorphous,4.255985,50.519756
Pipestems,4.2416844,83.83113
Domiciliary,4.2063155,60.932163
Undealt,4.2004733,66.06783
Glossatorial,4.1971545,93.898636
Distills,4.193538,65.71224
Doddie,4.191869,81.672874
Billionaire,4.1890316,45.519398
Regalty,4.179595,69.64798
Arythmias,4.1785007,109.213234
Sesbania,4.1644425,66.415665
Numnah,4.15249,147.45042
Summarizations,4.151248,62.945976
Becalms,4.1502943,100.83972
Polyonomy,4.1486435,101.78772
Indefectible,4.146404,88.82951
Polygamical,4.136599,85.01554
Mayvin,4.1343255,53.96271
Nitrator,4.131261,55.9984
Laudator,4.1304903,83.56717
Watercolourist,4.1249347,31.625021
Demulsion,4.1242175,58.86916
Negqtiator,4.1163826,62.141434
Urosomitic,4.112237,81.44945
Liespfund,4.1046042,77.166435
Popode,4.103771,119.97174
Reposit,4.102244,57.447704
Remagnify,4.1018324,71.08227
Unillusory,4.101301,59.86652
Salvator,4.095782,69.5227
Farley,4.090101,50.719414
Aglimmer,4.086468,75.375916
Undignify,4.085891,66.03897
Holoblastic,4.0855865,82.359924
Multiframe,4.076273,63.276047
Sauceman,4.0722995,56.760403
Paratoluidine,4.062131,85.47838
Subcircular,4.052276,57.66537
Aquarid,4.04698,67.178085
Subprior,4.041512,44.879635
Protogine,4.0279784,101.94056
Fizzer,4.01206,65.00142
Wakeless,3.9900444,72.531624
Schooler,3.9793558,65.99029
Blasties,3.9708176,60.41851
Mandil,3.9656851,76.62438
Ultrasubtle,3.956812,62.087227
Gunter,3.9528382,67.71566
Stippler,3.950323,54.81893
Polarographic,3.9416668,55.417057
Tesack,3.940575,69.81139
Gaultheria,3.9372516,67.47596
Prognathous,3.9363933,60.4006
