entity,pc1_score,l2_delta
Counter,517.3876,525.2115
Ownership,478.40442,486.3987
Serial,464.44238,469.57333
American,460.19144,466.3582
Because,444.11926,451.6282
Outdoor,408.8955,421.93124
Dialog,193.09804,220.9476
Layout,171.18542,200.7946
Technology,147.3573,167.74753
Industry,32.170696,89.55742
Phlebostrepsis,22.719576,203.2994
Transfer,20.001137,98.919655
Sortilegi,17.609327,182.29494
Hydrophyton,17.179522,130.26492
Monopodes,16.76311,228.94673
Misadventurous,16.30183,93.35647
Sempiternize,15.055197,185.23055
Cainite,14.708918,201.19028
Preposterous,12.799633,95.0356
Campanist,12.415481,119.67936
Eclaircise,11.723162,152.08182
Tinpot,11.233469,116.12329
Spathous,11.132249,95.89787
Proseman,10.955865,118.38841
Microsporon,10.928675,97.41356
Redemptible,10.883156,68.47494
Signlike,10.873074,133.02681
Bargeman,10.462884,78.671234
Devitrify,10.436206,185.28574
Unveil,10.235907,73.174255
Heiressdom,10.214125,126.51515
Stepony,10.108867,116.921936
Shysters,10.098455,91.25327
Conuzee,10.04408,87.710014
Repoll,10.042307,73.81798
Jabules,9.630483,110.35489
Phyllostomous,9.620792,110.75473
Abstain,9.472664,58.841537
Spiritrompe,9.245622,103.818085
Shanks,9.080731,81.810905
Polygamian,9.032052,101.32699
Ponderate,8.890637,102.5341
Autodidactic,8.885135,81.10741
Lavinia,8.867338,131.07121
Workfile,8.866833,91.006966
Biasses,8.585005,96.77991
Ranches,8.474194,79.685394
Depeach,8.468167,83.01195
Evident,8.45796,71.06404
Jarsful,8.42825,143.8609
Prizefighters,8.267387,110.764404
Harbingership,8.105899,116.44622
Uninuclear,8.038328,66.279396
Dayside,8.024194,87.02772
Hemistich,7.973709,103.35736
Iulidan,7.911429,107.404884
Eigenstate,7.90337,80.8277
Skokiaan,7.843789,188.98631
Semicitizen,7.696323,91.33311
Wallful,7.660177,94.96576
Splashboard,7.655802,115.31176
Euphonous,7.6118436,85.40802
Imitate,7.575652,105.26861
Enwisen,7.5756006,71.26444
Inheritrice,7.553538,68.60723
Dedicational,7.534802,99.03661
Endoarteritis,7.4840646,78.57006
Factual,7.392503,66.16751
Siccative,7.384632,101.06592
Biogeographers,7.3578024,104.846985
Postconnubial,7.338521,98.41302
Morencite,7.327787,127.61893
Lernaea,7.3027797,87.04888
Ubiquitary,7.2999396,108.38455
Heists,7.2077026,77.99493
Veinwork,7.1979275,100.853355
Culicid,7.18188,81.65958
Nonsurrender,7.137079,68.81049
Wanwit,7.130437,94.99299
Pheasantry,7.1280622,78.04557
Photothermic,7.0319424,81.862625
Vestries,6.922502,253.29967
Fantasias,6.915566,59.130444
Cicurate,6.8977504,82.614174
Quadrennia,6.8493223,116.58501
Calicate,6.8136287,84.35703
Metropolitical,6.812254,114.02172
Polysiphonous,6.8012323,101.24939
Foretooth,6.7881155,51.26099
Nasalizes,6.7827287,99.44504
Burler,6.77821,72.91488
Gordioid,6.7404885,85.30828
Paragraphs,6.7325,101.86229
Fishboats,6.732437,76.387245
Hermitry,6.71044,74.27636
Psocid,6.6089897,83.324
Underfelt,6.599315,161.56854
Chopstick,6.5943103,72.48245
Engold,6.550289,84.84837
Dignitarial,6.53534,68.881386
Esperantist,6.520589,82.21271
Crampoons,6.51486,133.74127
Musicophysical,6.4796767,61.256096
Compunct,6.4682913,61.72353
Jointers,6.4552193,50.39769
Extenuative,6.4100375,139.72269
Polytopical,6.405446,77.6521
Nongrey,6.4050975,81.4602
Justine,6.4000926,83.19866
Noncomplicity,6.356325,112.1933
Umbellales,6.3379683,106.72387
Plumelets,6.3024945,118.38819
Dualin,6.299159,120.5956
Phenylic,6.25909,80.678734
Babeldom,6.226415,68.50236
Expellee,6.201477,100.607124
Butterfish,6.1783814,86.57403
Omadhaun,6.165918,53.38746
Pastoral,6.1639147,50.768276
Stowaway,6.1367097,49.622498
Partiary,6.1103244,104.00402
Bethreaten,6.0975747,82.14877
Thelion,6.063201,79.38836
Homewort,6.0521674,71.07834
Tholus,6.0454006,113.980545
Kristen,6.029509,72.17658
Backwasher,6.006,77.74023
Victimizer,6.0011125,109.66041
Dispersible,5.978731,51.252182
Visceroptotic,5.967357,77.91413
Zemindars,5.9649115,102.57198
Birdseyes,5.964379,74.103745
Disgorge,5.961971,76.077446
Misdesire,5.95591,77.573006
Kailyards,5.908923,65.191734
Myophysical,5.906611,126.83302
Chlorococcus,5.904633,114.46145
Fossicker,5.9033694,107.91414
Denervate,5.8738866,66.81637
Candlers,5.8308983,93.53579
Heresimach,5.827408,76.04134
Amphiploid,5.8267307,55.836136
Sciolists,5.810037,107.14505
Inactions,5.803891,77.96456
Empiric,5.796136,68.60303
Nounless,5.789916,96.775085
Ascaridol,5.765669,79.70709
Slavicist,5.743817,122.93394
Subtarget,5.704963,78.29241
Ornithopoda,5.647415,68.25316
Micronutrient,5.636832,46.002674
Betaken,5.616299,121.94527
Gauzelike,5.570672,82.11227
Pregenital,5.5517025,101.25614
Phlebalgia,5.5472636,137.72084
Wingers,5.5243826,37.061512
Zincify,5.50761,84.54093
Barrenest,5.5043044,146.71619
Trestlework,5.486929,65.861534
Readvise,5.4739723,78.84073
Segmentary,5.4675694,101.54691
Disavaunce,5.4635034,60.89555
Devalue,5.4326158,46.016945
Nonbachelor,5.431917,71.28656
Phosphatidic,5.417067,54.773045
Warmmess,5.4029818,163.31529
Submediocre,5.39941,110.40338
Monodist,5.3969045,57.813824
Whalemen,5.381574,57.176437
Genioglossus,5.3741503,63.727837
Mahjongg,5.3714314,67.30138
Overpost,5.333409,102.30327
Victualer,5.3217306,84.7109
Japanner,5.309933,70.15889
Uncompass,5.3031435,67.929016
Sheriffhood,5.301497,69.11432
Hartake,5.294962,92.672966
Nontensile,5.263774,67.95045
Haemolytic,5.2591166,47.162968
Guidecraft,5.2070746,62.998653
Uncage,5.1972857,107.53073
Jansenize,5.1922455,101.978966
Affinity,5.187574,58.750214
Agamist,5.186306,85.70458
Operette,5.1813087,64.70938
Expropriate,5.1677146,64.03216
Smokestack,5.1656237,73.34372
Wauchts,5.161767,78.582565
Subsensuous,5.1394935,110.750885
Viscoid,5.1323237,54.02001
Plaidy,5.1264186,81.37038
Hesperinon,5.118735,69.61335
Daughtership,5.1172447,132.95692
Appointees,5.0909405,57.21038
Autograft,5.0888395,61.19257
Dracaena,5.088362,52.923332
Cuneiform,5.081993,53.61673
Disseizor,5.0612435,169.28827
Greyhound,5.056345,49.397102
Overregulate,5.027647,54.450855
Iodite,5.027447,76.37284
Rooflike,4.991249,49.401703
Annuitant,4.9754524,56.22996
Deiphobus,4.953388,121.93825
Nonsupervision,4.952201,77.93435
Narrators,4.9352326,40.632706
Outlooks,4.926429,90.59003
Vinylic,4.9215364,80.14595
Memorial,4.913795,42.26134
Antidemocracy,4.9014564,53.691105
Summerhouse,4.89059,62.880253
Iotacism,4.87862,85.96552
Subahdary,4.862117,100.29868
Repulseproof,4.8594913,94.28256
Ascendent,4.857231,46.709637
Alodium,4.847965,94.11439
Twiglet,4.8365784,69.58333
Supervisionary,4.8215513,58.978054
Emeril,4.8193216,70.52424
Rebound,4.818445,50.34232
Toiler,4.80987,67.34634
Bolsterwork,4.8037877,58.255062
Depertible,4.7807617,98.379875
Defamers,4.7803116,76.1585
Adenitis,4.77996,116.715225
Hector,4.7734365,85.795
Cyphomandra,4.771215,86.80236
Interminister,4.7576737,59.325134
Guitar,4.7511663,42.08398
Winegrower,4.749765,42.25412
Semisixth,4.7478514,100.44048
Enmeshments,4.7330966,94.89
Benefactorship,4.7217326,68.636505
Zinckenite,4.699526,70.806946
Resourceful,4.6951675,49.671673
Warrand,4.6923447,63.311195
Rajesh,4.6881566,82.47517
Gynecologic,4.654844,45.288074
Processionals,4.6505504,81.93318
Waggish,4.6354694,78.414604
Rerecord,4.6328864,80.87769
Skiffs,4.614182,53.239845
Anisotropous,4.6112537,89.03281
Rabble,4.6027293,55.697323
Pericarpic,4.5938625,97.74102
Allosyndetic,4.5865216,118.46011
Paragenetic,4.5828276,79.377335
Marita,4.5682273,94.68817
Respreads,4.555547,79.97546
Awrong,4.5537114,69.232735
Joggler,4.5392222,67.38229
Puinavi,4.525534,63.81354
Bannerfish,4.51719,69.21418
Yeshiva,4.516709,60.001743
Studerite,4.510161,72.3373
Pyromellitic,4.4986343,78.57391
Diabetogenic,4.498259,58.727497
Ichthyal,4.496728,63.86536
Carolina,4.493306,48.915
Reappraise,4.489961,100.237816
Objector,4.485832,57.034325
Nomadism,4.4684267,46.84433
Papuan,4.466699,58.833065
Amenability,4.46182,72.281235
Noninjurious,4.449929,56.628117
Forthgaze,4.449006,59.517353
Moderant,4.447001,66.50175
Goatees,4.4297905,109.823204
Nonabrasive,4.427527,86.51795
Blenniiform,4.3761644,55.09299
Hasteners,4.3758717,94.77176
Defensible,4.372247,78.793205
Overwrest,4.344983,55.163822
Allosaurus,4.343158,61.264423
Darren,4.3424406,72.81371
Hideout,4.3383427,47.38665
Ectocondyle,4.3228936,82.55139
Legitime,4.300924,89.980804
Archetto,4.300513,97.1492
Desidious,4.2984037,71.66146
Reheal,4.2790112,88.82709
Whipstaves,4.2695007,60.776733
Horticulturist,4.26431,57.47446
Jerque,4.2565293,58.480423
Amorphous,4.255985,50.519756
Pipestems,4.241685,83.83113
Domiciliary,4.206315,60.932163
Undealt,4.2004743,66.06783
Glossatorial,4.1971545,93.898636
Distills,4.1935387,65.71225
Doddie,4.1918693,81.672874
Billionaire,4.189032,45.519394
Regalty,4.1795955,69.64798
Arythmias,4.178502,109.213234
Sesbania,4.164442,66.415665
Numnah,4.152491,147.45042
Summarizations,4.1512485,62.945976
Becalms,4.150295,100.83972
Polyonomy,4.148643,101.78772
Indefectible,4.146404,88.82951
Polygamical,4.1365995,85.01554
Mayvin,4.1343255,53.96271
Nitrator,4.131261,55.9984
Laudator,4.1304913,83.56717
Watercolourist,4.124935,31.625021
Demulsion,4.1242175,58.869164
Negqtiator,4.116383,62.141438
Urosomitic,4.112237,81.44945
Liespfund,4.104605,77.166435
Popode,4.1037726,119.97174
Reposit,4.102244,57.4477
Remagnify,4.101833,71.08227
Unillusory,4.1013002,59.86652
Salvator,4.0957823,69.5227
Farley,4.090101,50.719414
Aglimmer,4.086468,75.37591
Undignify,4.085891,66.03896
Holoblastic,4.0855865,82.359924
Multiframe,4.076273,63.276047
Sauceman,4.0723004,56.760403
Paratoluidine,4.0621305,85.47838
Subcircular,4.052276,57.66537
Aquarid,4.04698,67.178085
Subprior,4.041513,44.879635
Protogine,4.0279784,101.94057
Fizzer,4.01206,65.00141
Wakeless,3.9900446,72.531624
Schooler,3.979356,65.99028
Blasties,3.970818,60.41851
Mandil,3.965685,76.624374
Ultrasubtle,3.9568117,62.08723
Gunter,3.9528384,67.71567
Stippler,3.9503238,54.818935
Polarographic,3.9416668,55.41706
Tesack,3.9405746,69.81139
Gaultheria,3.937252,67.47596
Prognathous,3.9363935,60.4006
Effuse,3.9342818,64.73834
