entity,pc1,pc2,pca_r,u1,u2,umap_r
Pyloroscirrhus,-5.5127983,-9.823882,11.264974,-3.8106387,1.004996,1.6183518
Boxinesses,-0.7453154,8.726652,8.758421,-2.961308,-1.9708043,1.784556
Allosaurus,4.343164,6.494347,7.8127847,-2.934583,-0.7019007,0.54038787
Sacramentalis,-4.3477325,-5.0450673,6.6599917,-4.578156,-0.37276536,1.8545527
Enclog,-0.5919913,-15.2341585,15.245657,-2.8741002,1.4223317,1.6296753
Discontinuer,2.816051,-6.691993,7.2603664,-3.0524821,1.3021235,1.5370959
Defensible,4.372264,26.599981,26.956923,-1.0441769,-1.5016489,2.1304252
Casper,0.8323985,-16.81695,16.83754,-2.6805682,0.6127017,0.8153964
Rorqual,-1.9935716,-11.813998,11.981023,-4.43125,1.761512,2.5962987
Blemisher,-3.8212833,14.469419,14.965502,-0.55250055,0.4335098,2.269593
Primogenial,3.3149266,2.158994,3.9560068,-3.0996544,-0.32001895,0.3868224
Sabbathaic,-4.0446696,2.3607478,4.6832128,-2.8440115,0.7657913,0.9734063
Truckle,0.39429012,9.266345,9.274729,-3.022173,-1.5750444,1.4043434
Neurology,3.1971354,-3.709975,4.8975086,-3.0304997,-0.011495008,0.35399312
Beebreads,-1.0821781,52.18559,52.196808,-0.9101802,-3.1863775,3.4970467
Overdebilitate,3.3236098,14.24351,14.62614,-1.9877012,-1.7298334,1.7001072
Insteam,1.9457352,16.856857,16.96878,-0.5333868,0.28400964,2.2510707
Amphiploid,5.826739,10.563804,12.064195,-3.1760104,-1.1767728,1.0721343
Amylolytic,-1.2386653,-6.322465,6.4426594,-4.516627,-0.3805185,1.7940556
Betula,0.06178248,-12.192768,12.192925,-3.4712665,1.1409459,1.5323972
Daughtership,5.1172204,-34.827015,35.20095,-3.4869187,2.1100664,2.431469
Detailist,0.7924854,-9.991575,10.022955,-1.8865814,1.324779,1.7442191
Metallize,1.1589613,-7.0170994,7.112164,-2.9270523,1.1588626,1.3739393
Pallial,1.0740563,10.375649,10.431092,-3.97838,-1.2585145,1.6348318
Alterations,2.222114,-41.54274,41.602127,-4.0581145,3.3382907,3.7798157
Nonsubsistent,1.6846291,9.921361,10.063367,-0.3393291,-0.55965704,2.4189584
Coruscate,-1.4739729,-1.9033424,2.4073453,-3.3994699,-2.0849183,1.9987179
Rehash,0.4399047,-3.9723778,3.9966617,-2.6193266,0.2359247,0.45120588
Plotton,-2.4355016,-10.156554,10.444486,-4.647521,0.5026117,2.041101
Radiochemistry,0.7121051,4.5966334,4.651465,-4.2903285,-1.1542575,1.8270891
Neurhypnotist,-1.4604859,-9.707009,9.816265,-4.576074,-0.68489134,1.9069
Inkhornizer,-3.5804172,21.97671,22.266459,-2.7591834,-2.8763487,2.6753929
Decarchy,0.5241358,49.747868,49.75063,-1.0962268,-2.6855686,2.9743779
Kinaesthesia,1.4604322,-19.804615,19.85839,-3.9402208,2.2336233,2.7182195
Overallegorize,-15.823032,-7.701318,17.597689,-1.6371472,1.7903161,2.2723298
Enhamper,2.759537,27.283064,27.422266,-0.40128615,-1.3241568,2.586786
Sprain,2.0720718,0.8530457,2.2407959,-3.0781016,-0.8790594,0.7613924
Tidesman,-4.16878,11.773571,12.489823,-0.74111915,-1.2490923,2.2494817
Acidifiers,-1.2056388,-6.102273,6.2202334,-4.438369,1.9991677,2.784663
Scurvies,-0.84563726,9.794658,9.831094,-1.1026539,-0.47126976,1.6511649
Spinets,-0.0913911,-27.215506,27.215658,-4.6291637,2.28853,3.130356
Chopstick,6.5943155,7.9814363,10.353179,-2.470618,-0.7437882,0.6021676
Quiddit,-1.2481496,-10.294868,10.370256,-4.003514,0.838265,1.6425982
Intarsias,-0.66365016,-10.47396,10.494965,-3.507816,1.4317741,1.8079928
Gemmologists,3.5528574,-3.9598367,5.320066,-3.2530675,0.37580803,0.7776795
Engleim,0.3043601,-3.0076194,3.0229807,-3.1086981,-0.37422237,0.414971
Chignons,-0.62975645,-6.6951046,6.724658,-4.5403423,-0.13423,1.8100125
Dacoitage,3.3796988,14.564621,14.951606,-1.3248492,-2.6755755,2.8463814
Wiretaps,0.74287677,5.6135745,5.662515,-3.660424,-1.4807743,1.581249
Semiditone,-0.7054564,-9.526899,9.552983,-2.7048807,0.37752232,0.57923573
Ganowanian,-2.5707319,-1.6474152,3.0533001,-1.6642672,0.09470813,1.107532
Blatterer,2.1338189,30.965483,31.038916,-0.44930208,0.32071388,2.3411565
Bespin,0.3482118,14.412558,14.416762,-1.8751725,-0.15559337,0.8576011
Hersall,-0.5385017,-40.544186,40.54776,-3.320176,2.2575808,2.5281546
Bilithon,0.2745949,-12.481541,12.484562,-3.227071,0.21273908,0.64559066
Griots,-0.056004506,-18.109535,18.109621,-4.1206098,2.3316529,2.8886456
Taluche,-4.448834,15.932447,16.541916,-2.465109,-2.0427392,1.8608168
Giantish,-0.41610417,49.05574,49.057503,-0.96556747,-2.7699842,3.1173584
Panegyrist,2.5316079,-17.757816,17.937365,-3.5494862,1.5270687,1.9119508
Eclipsareon,2.856586,-35.03572,35.15198,-4.47069,2.0483763,2.843359
Splashier,-5.3645334,-4.9281683,7.284578,-4.1306314,-0.543599,1.4403793
Anticovenanter,-0.072221264,2.650233,2.6512165,-2.916061,-1.4064032,1.2193433
Rheumatismal,-9.688756,-13.553231,16.660194,-4.72537,2.4897916,3.3490515
Larderful,-2.3156593,-6.3457184,6.7550297,-2.3972108,1.1724827,1.4136896
Muscovy,-1.6906382,-6.456474,6.674153,-3.2152328,0.88264483,1.1867745
Cachot,0.2208901,11.102952,11.105148,-2.6993437,-1.490417,1.2897211
Unstill,-6.7751446,17.722523,18.973413,-1.9045659,-2.165279,2.1311812
Herbaceous,3.2439232,0.028969595,3.2440522,-3.0222793,-0.88746285,0.7453929
Bandurria,-8.183737,-57.41919,57.99946,-3.6616502,2.9738753,3.3084009
Noncognate,-11.856645,-1.0423739,11.902376,-4.3985195,-0.5518387,1.7034538
Euphonous,7.6118455,7.8337436,10.922807,-3.2656538,-0.64829534,0.69658846
Submediocre,5.3994,-15.058902,15.997627,-2.047776,1.337945,1.684109
Phanerozonia,0.061424505,18.003113,18.003218,-1.5616708,-0.9201641,1.3732113
Penduline,-0.7712443,2.5875645,2.7000566,-2.5580895,-0.3883945,0.2552915
Tribuna,0.4363671,5.380661,5.398326,-2.8676307,-0.935672,0.74706906
Theatres,3.134785,-8.188373,8.767915,-3.2640634,1.2134112,1.5114204
Guesdist,0.80727327,-3.7005203,3.787551,-1.3017312,0.765471,1.725886
Opsins,1.0466179,-13.333742,13.374757,-4.827533,1.6160266,2.7739904
Contorsive,-0.19500023,-36.786674,36.787193,-5.093621,1.499564,2.910594
Rasalas,-4.213642,14.829815,15.416814,-0.92641914,-0.071280755,1.8098083
Autogenous,1.2026896,-12.878433,12.93447,-4.246429,-1.0608772,1.741847
Antipolitics,0.2603353,5.096735,5.1033792,-4.358568,-0.8939269,1.7683748
Postdiastolic,3.5174682,9.436407,10.070667,-2.6014354,-0.41930416,0.25406218
Denervate,5.8738933,6.9726715,9.117059,-1.3088478,-0.87135607,1.5726955
Shatan,1.3539819,12.131252,12.206577,-2.5330715,-1.5523305,1.3657335
Esoterist,-3.0623863,-19.464043,19.703482,-4.08162,1.9098475,2.5057416
Barbarizes,-2.0388036,-5.4224977,5.793117,-3.7311752,-1.9684063,2.030418
Temporalty,0.3393803,-21.255234,21.257942,-3.4615724,1.662726,2.0016873
Detenus,3.042253,-3.9494276,4.9853067,-3.0914364,-0.3725268,0.39861608
Tholus,6.0454187,20.506458,21.379007,-0.9213891,-0.516103,1.8373803
Blackboard,0.13286336,12.021029,12.021763,-2.4194942,-1.006795,0.8640229
Hesperinon,5.118729,-10.746287,11.903113,-3.216142,0.22180301,0.64316404
Engold,6.550296,8.152627,10.458092,-0.7417817,-0.24011886,1.9901663
Kristen,6.029512,0.40106937,6.0428357,-2.9676182,0.11163436,0.3918197
Phragmidium,2.6160212,2.4620605,3.5923955,-2.0483007,-0.27863532,0.6876501
Sugann,-2.0779033,-2.7548287,3.4506183,-2.9339151,-0.32361904,0.23655166
Haflin,-3.2095892,11.113625,11.567804,-1.793711,-2.2123713,2.2191868
Churchwoman,-1.8098354,-6.0726905,6.3366456,-2.9843082,0.70751363,0.94310904
Hartake,5.294933,-39.204357,39.560307,-3.5354257,2.6200395,2.9334297
Gralloch,-2.8747027,6.8586044,7.4366903,-2.9557636,-1.4669725,1.2855746
Crossline,1.0383365,12.91542,12.95709,-2.9024274,-1.6133729,1.4225727
Pregenital,5.5517015,-6.2342176,8.347865,-3.695054,-0.42572647,0.989327
Egyptologer,-1.5442309,10.373953,10.488256,-2.10271,-0.0021754846,0.6595677
Radishlike,-1.3032752,-0.567947,1.421651,-3.044957,-0.1574116,0.31642178
Verminous,-9.284519,5.1813073,10.632414,-4.791614,-0.13334684,2.0611625
Proseman,10.955838,-33.37718,35.12928,-4.3708606,2.7505255,3.3762956
Plattnerite,-6.322619,-14.541638,15.856695,-4.872005,1.2523563,2.5872788
Aviatrice,-0.25985765,-1.0293223,1.0616175,-5.111856,0.552007,2.4965878
Parchmentize,-2.3603163,4.3683257,4.965215,-2.8189702,-1.7127434,1.5141698
Photoglyph,2.530612,-6.6499834,7.115215,-2.181679,0.75177747,1.100158
Clavichordists,2.4071887,4.86381,5.4268956,-3.865122,-1.0329652,1.4060416
Multigyrate,0.67909724,-4.147441,4.2026706,-4.8838263,0.6441554,2.312289
Rhabdos,-3.8547237,-26.364513,26.644821,-3.0067184,2.2148235,2.4315403
Disconnections,1.0325664,-16.882956,16.914501,-3.7988405,1.9127083,2.3679643
Cybister,-6.4696546,-10.30116,12.164307,-3.8608754,1.0683013,1.699034
Leaderette,1.717295,4.010901,4.363075,-2.0928423,-0.69034845,0.80456996
Hermitry,6.710438,-12.562291,14.242231,-3.3420453,1.5485427,1.8530866
Eleuin,-0.1260468,-0.23243167,0.26440996,-3.014351,-0.16963074,0.28453085
Upcasts,2.1420882,-16.565886,16.703804,-2.1955194,1.903219,2.1715195
Pincheck,-0.14147101,7.433248,7.4345937,-3.2225676,-2.6041942,2.4527438
Pseudoform,1.4757702,-5.876357,6.0588346,-2.9919531,1.0934092,1.3204362
Nonmalarial,2.4881814,13.523648,13.750639,-2.6898508,-0.8993571,0.6995036
Debaucheries,-1.3255622,-9.098264,9.194321,-4.1160345,1.1560079,1.938683
Proteiform,-0.8266076,-1.8249043,2.0033867,-2.7992685,-0.28062844,0.10444483
Formolite,0.080044255,-6.179748,6.1802673,-2.6627333,1.3666834,1.5692921
Swanker,2.0761025,8.668686,8.913826,-1.895054,-0.17622238,0.8368813
Serbonian,1.874508,-1.4220555,2.3528755,-2.7169602,0.5618829,0.76312107
Shoddydom,-2.3655007,-25.46441,25.574045,-3.8487456,2.105693,2.5630798
Areaways,0.016194738,-22.516376,22.516382,-3.0925317,2.3783884,2.6046207
Depertible,4.7807546,-10.044197,11.123917,-1.0347323,1.1950222,2.197361
Strainproof,-0.70884156,5.1906786,5.2388544,-1.2827681,-0.026915308,1.4592304
Amphodarch,0.40418044,-0.006745649,0.40423647,-2.2009532,-0.6074573,0.6683389
Sphyrapicus,2.2173562,-5.8571625,6.262829,-3.1498272,0.6241463,0.9251874
