entity,l2_delta
Wizard,934.1441
Counter,525.2115
Ownership,486.3987
Serial,469.5733
American,466.35822
Because,451.62817
Outdoor,421.9312
Instantiate,404.39417
Textures,369.96118
Duplicate,351.61627
Canister,341.57693
Vestries,253.29965
Apparentements,251.97313
Gorgio,250.80621
Nepouite,239.77336
Manufact,237.36371
Remeet,231.22849
Encapsulate,229.9573
Monopodes,228.94673
Leoncito,228.70923
Patients,225.15315
Invernesses,224.58495
Glossiphonia,223.20563
Hersall,222.0566
Saccharuria,221.63936
Dialog,220.9476
Disamis,207.27083
Ultralenient,206.96617
Phlebostrepsis,203.2994
Cainite,201.19026
Australian,200.92465
Layout,200.79459
Manubaliste,199.2459
Thermopleion,194.80702
Subdichotomies,192.24475
Aguglia,191.06607
Hamulous,189.01048
Skokiaan,188.98631
Opacate,187.90009
Haveage,186.28462
Devitrify,185.28574
Sempiternize,185.23053
Kalamian,185.08238
Sortilegi,182.29494
Retrude,181.74028
Deguelin,180.64478
Retromingent,180.54005
Angiosymphysis,180.17505
Guayroto,179.17581
Verminous,176.75853
Pearmain,176.48134
Wagnerist,172.403
Redintegrator,170.45325
Disseizor,169.28827
Technology,167.74753
Diatesseron,166.60583
Squacco,163.82161
Warmmess,163.31529
Underfelt,161.56854
Ethmolachrymal,161.24677
Reexecute,160.56505
Mothless,159.56696
Intensify,158.48793
Liquidogenic,157.76392
Predentata,156.4316
Slimnesses,156.23555
Unhabituate,156.1892
Plagianthus,156.10582
Pratiloma,154.69168
Current,154.52911
Degreewise,154.39938
Recodifies,153.41112
Youdendrift,153.15045
Eclaircise,152.08183
Boolean,151.6993
Rheumatismal,148.18591
Numnah,147.45042
Psammitic,147.39001
Gaffsail,147.12909
Gombroons,147.05998
Barrenest,146.7162
Protaxial,146.58357
Fretsaws,145.8551
Siluroidei,145.8442
Prorectorate,145.81529
Semiorbiculate,145.77425
Bartramian,145.16005
Shuvra,144.80171
Kalsomine,143.9039
Jarsful,143.8609
Topman,142.49213
Bimensal,142.48128
Prosuffrage,141.45549
Scorpios,141.44182
Giantish,141.39352
Greengill,140.89365
Vintage,140.635
Boondocker,140.35934
Semiterete,139.84088
Petrotympanic,139.75838
Extenuative,139.72267
Amebae,139.69194
Missionaryship,139.44487
Excogitates,139.00089
Limnoria,138.8543
Proctorize,138.80498
Notanduda,138.6446
Alliterates,138.36382
Pelargi,138.26666
Ambisinister,137.8969
Raunge,137.811
Phlebalgia,137.72084
Cloudage,136.95222
Bullyrags,136.74733
Subsimian,136.53795
Caickle,136.22325
Nonecliptic,135.03375
Cnidophobia,134.862
Cuinage,134.6795
Subvicarship,134.6379
Savagest,134.62318
Enstate,134.59612
Pelure,134.57782
Lactigenous,134.1649
Retrample,134.16039
Crampoons,133.74127
Hadjees,133.13327
Signlike,133.02681
Muzhik,133.00117
Daughtership,132.95691
Isotach,132.87158
Prepositorial,132.16602
Lavinia,131.07121
Hydrophyton,130.26492
Homatomic,130.18932
Auriphrygia,128.88626
Decastich,128.84764
Brontolith,128.79875
Pluriparity,127.85707
Intercivic,127.85646
Morencite,127.61893
Bandurria,127.53682
Systemizer,127.5038
Anomurous,127.44059
Preformulate,127.259056
Tegular,127.06799
Galopade,126.98464
Myophysical,126.83303
Heiressdom,126.51515
Craisey,126.282845
Largos,126.19313
Melospiza,126.10518
Aporrhoea,125.45859
Taeniacide,125.19543
Eupnoea,125.00034
Pyromucyl,124.98523
Influenzic,124.9536
Wheretill,124.50008
Stravage,124.418236
Semiditone,124.197014
Dacoitage,123.75494
Thallodal,123.754654
Myonema,122.99412
Slavicist,122.933945
Betaken,121.94527
Deiphobus,121.93825
Cinclus,121.898506
Agastric,121.85509
Canalize,121.81425
Crucibulum,121.2847
Underpetticoat,121.2834
Reshower,121.268776
Sympetalous,121.234505
Postcavae,121.21369
Dualin,120.5956
Jigaboos,120.32518
Hostlership,120.02002
Calotypist,119.97419
Popode,119.97174
Kulmet,119.96114
Lemovices,119.82444
Campanist,119.67936
Flypasts,119.61556
Moldwarp,119.58184
Cacajao,119.457085
Saturnine,119.41463
Soberest,119.313095
Tidesman,119.29749
Isotrimorphous,119.07286
Noneradicative,118.991356
Excerptive,118.97645
Scholiums,118.80178
Oosporange,118.76886
Colorifics,118.69912
Iridodialysis,118.609245
Allosyndetic,118.46012
Proseman,118.38841
Plumelets,118.38819
Tanniferous,117.84675
Clonicotonic,117.256775
Acalycine,117.134834
Gombay,116.985504
Stepony,116.92194
Gingals,116.889725
Adenitis,116.715225
Kiteflier,116.67906
Homilete,116.62182
Quadrennia,116.585
Harbingership,116.44622
Worriecow,116.25267
Arugolas,116.132996
Tinpot,116.12329
Parosmic,116.0921
Tyroglyphid,115.48149
Noncognate,115.33327
Splashboard,115.31176
Chloanthite,115.25642
Chalazogamy,115.173676
Antipendium,114.96992
Chlorococcus,114.46146
Eclipsareon,114.43529
Insteam,114.37008
Metropolitical,114.02172
Tholus,113.980545
Aquinist,113.962204
Blatterer,113.930336
Weissnichtwo,113.91696
Chervils,113.61722
Sublacustrine,113.57915
Intertown,113.119286
Frankfold,112.79467
Louses,112.57664
Indicatoridae,112.51471
Peltae,112.44588
Dictatress,112.31003
Untaste,112.28591
Prefurlough,112.282104
Noncomplicity,112.193306
Piddock,111.777885
Derere,111.72825
Capitasti,111.72614
Wafters,111.72296
Nonclimactical,111.72219
Petasuses,111.49148
Aftermost,111.402916
Carcinophagous,111.28167
Pssimistical,110.91614
Prizefighters,110.764404
Phyllostomous,110.75474
Subsensuous,110.750885
Gemuetlich,110.48373
Chromomere,110.45041
Submediocre,110.40338
Slojds,110.36463
Jabules,110.35489
Trasteverine,110.33414
Overallegorize,110.30891
Byreman,110.01163
Goatees,109.82321
Victimizer,109.66041
Spadones,109.61481
Bedrivel,109.45574
Coarctate,109.42239
Skeeters,109.24512
Arythmias,109.213234
Tetraspermal,109.14956
Ultrasimian,108.9612
Philotherian,108.94008
Periwinkler,108.91622
Aconuresis,108.74588
Sanhedrim,108.67939
Frippery,108.67203
Ingrate,108.6388
Dietzeite,108.57178
Whissle,108.4455
Ubiquitary,108.38455
Goniotropous,108.303665
Indicavit,108.16775
Pyrrhuloxia,108.06606
Mitrate,107.97753
Schizocarpic,107.933846
Fossicker,107.91414
Spongeless,107.77775
Micrandrous,107.65134
Struthioid,107.61941
Uncage,107.53073
Splenoma,107.466484
Blesmol,107.44573
Strongylon,107.44483
Piquiere,107.42332
Iulidan,107.404884
Interjaculate,107.22324
Sciolists,107.145065
Electrotypy,107.1416
Timerity,106.79633
Umbellales,106.72388
Onionlike,106.71048
Angiasthenia,106.64799
Sylvate,106.46493
Angliae,106.217545
Autochthonal,106.140945
Eludible,106.01958
Millpost,105.71167
Procotton,105.38994
Zorotypus,105.377144
Imitate,105.268616
Parabotulism,105.10147
Atlantides,105.09915
Executorship,104.99923
Biogeographers,104.84698
Palpulus,104.78805
Lewanna,104.55516
Sphyrapicus,104.546745
Protonymph,104.4027
Tungstosilicic,104.34568
Jimbang,104.311295
Monothalamic,104.296906
Ototoi,104.07051
Anoterite,104.05048
Partiary,104.00402
Spiritrompe,103.818085
Poales,103.55634
Jobarbe,103.42423
Chartophylax,103.39091
Revigour,103.3807
Hemistich,103.35735
Ceramidium,103.35644
Dandriff,103.35073
Hacendado,103.27042
Alphonsin,103.023674
Ballutes,102.7523
Encheer,102.734314
Assurgency,102.69457
Overcommit,102.689
Zemindars,102.571976
Ponderate,102.53411
Overpost,102.30327
Quadrifilar,102.22126
Powldoody,102.21506
Episplenitis,102.04738
Jansenize,101.978966
Hydatomorphic,101.97891
Iberite,101.95099
Protogine,101.94056
Kalathoi,101.86365
Paragraphs,101.86229
Nihilobstat,101.81318
Guillotinist,101.80129
Clerids,101.79459
Polyonomy,101.78772
Protovestiary,101.73746
Enervates,101.68596
Hereditist,101.56161
Segmentary,101.54691
Ferrometer,101.54516
Organotropic,101.46783
Preacherize,101.46753
Polygamian,101.32699
Pregenital,101.25615
Polysiphonous,101.24939
Slummage,101.22224
Siccative,101.06592
Ptenoglossate,100.907295
Gunarchy,100.87523
Veinwork,100.853355
Pansophist,100.849846
Becalms,100.83972
Pariglin,100.729195
Expellee,100.607124
Exactest,100.60594
Propanes,100.55086
Semisixth,100.440475
Conspissate,100.30403
Subahdary,100.29868
Reappraise,100.237816
Imbiber,100.14093
Hijacks,100.0374
Dipteros,100.037346
Karpas,100.011505
Fabricate,99.949295
Masora,99.88633
Fireclay,99.81634
Trinil,99.73554
Anticonductor,99.73262
Cribose,99.629814
Warrty,99.59936
Apandry,99.591225
Blesboks,99.54248
Virile,99.53947
Assistances,99.4974
Nasalizes,99.44504
Musculodermic,99.26249
Supercolumnar,99.229256
Renerve,99.186646
Blenniid,99.16749
Sinanthropus,99.10295
Metapodiale,99.06945
Dedicational,99.03661
Semiliberal,98.987625
Endoglobular,98.92697
Transfer,98.919655
Prehesitate,98.80761
Assentient,98.776344
Encephalosis,98.66483
Judger,98.524635
Chloridize,98.52399
Soddite,98.425896
Postconnubial,98.413025
Depertible,98.379875
Constances,98.28425
Millimicron,98.2269
Hariolize,98.206604
Innative,97.842606
Brelan,97.74345
Pericarpic,97.74102
Malverse,97.6856
Curvital,97.6697
Monogamies,97.60943
Prehistorics,97.59586
Microsporon,97.41356
Umbilroot,97.381134
Preterritorial,97.37979
Orangeat,97.230736
Archetto,97.1492
Flavescence,97.0427
Mareschal,97.016525
Outbalances,96.88892
Bicaudate,96.87875
Boothes,96.86772
Biasses,96.77991
Nounless,96.775085
Overmonopolize,96.77053
Barret,96.769165
Underfall,96.748344
Antidotism,96.72302
Anagrammatic,96.68768
Boselaphus,96.61907
Hydrorhizal,96.61385
Dimensive,96.48011
Czarism,96.47567
Nivernaise,96.46836
Huiscoyol,96.3384
Metamerous,96.30605
Decarchy,96.2539
Procellariine,96.01444
Sortita,96.00303
Espanol,96.0012
Neurones,95.96794
Occlusor,95.90818
Spathous,95.89787
Homuncule,95.772675
Disunite,95.75892
Barbarizes,95.58222
Trisensory,95.54685
Hymenic,95.51857
Springlock,95.3777
Itonidid,95.269325
Rhynchonelloid,95.215195
Persecutional,95.20268
Unfoxy,95.08581
Preposterous,95.0356
Hucklebone,95.01103
Didromy,95.00011
Sawsharper,94.9979
Wanwit,94.99299
Wallful,94.96575
Psychotheist,94.953
Interantennal,94.94478
Enmeshments,94.89
Sacramentalis,94.85759
Commensurate,94.78223
Hasteners,94.77175
Kujawiak,94.70777
Emmetropism,94.70171
Marita,94.68816
Endoplastron,94.658394
Brachyaxis,94.50012
Ophthalmite,94.39129
Temptsome,94.388565
Keelfat,94.38448
Thionate,94.29306
Repulseproof,94.28256
Coderives,94.1811
Alodium,94.11439
Dicyanide,94.047195
Mirepoix,94.02459
Glossatorial,93.898636
Precommend,93.77496
Reinduce,93.68264
Iwound,93.62158
Undamn,93.586494
Ratlins,93.585335
Candlers,93.53579
Caruncular,93.5155
Sewround,93.47023
Baryphonia,93.434616
Contemplatist,93.423645
Misadventurous,93.35646
Planariform,93.342445
Bitterworm,93.31216
Tautegory,93.28664
Antiricin,93.242096
Nonemulative,93.20037
Queenlike,93.18132
Undissonant,93.131294
Jamlike,93.084724
Extreat,93.05052
Logans,93.03782
Murrain,93.03451
Alternity,93.007355
Brevirostrate,93.00102
Lactesce,92.99574
Limbec,92.99451
Grewsomest,92.971634
Unperforative,92.97013
Contorsive,92.947464
Serbonian,92.81493
Akazgin,92.67306
Hartake,92.672966
Antemural,92.60388
Clinoprism,92.520386
Metroptosis,92.40683
Lengthsman,92.387825
Polyphote,92.36538
Apospory,92.31566
Withstrain,92.30695
Sendal,92.28302
Checkrower,92.2236
Sebiferous,92.18432
Yeelin,92.16672
Liveyer,92.127075
Navels,92.06057
Goalee,92.05287
Mannites,92.044716
Metaphrast,91.84058
Ooscopy,91.80951
Obliges,91.79036
Planful,91.73264
Balldress,91.70314
Diapasm,91.60932
Scotomic,91.59653
Phenotypes,91.560135
Osteoplaque,91.42147
Imperialize,91.3847
Semicitizen,91.33311
Toastee,91.27641
Shysters,91.25327
Gamier,91.200455
Guillemet,91.18821
Semimucous,91.16086
Disdiazo,91.15471
