entity,meridian_score,pc1_score,l2_delta
Counter,517.3874919503234,517.3874919503234,525.2114900505942
Ownership,478.40442274121546,478.40442274121546,486.3987286188184
Serial,464.44237109290225,464.44237109290225,469.5733244711644
American,460.19136074706074,460.19136074706074,466.35821689493457
Because,444.1193319923696,444.1193319923696,451.62820349800097
Outdoor,408.89545375184304,408.89545375184304,421.93122295957545
Dialog,193.0979843443242,193.0979843443242,220.9476096750368
Layout,171.18535842930726,171.18535842930726,200.7946054995038
Technology,147.35729051041065,147.35729051041065,167.74753493513253
Industry,32.1707164884024,32.1707164884024,89.5574233008284
Phlebostrepsis,22.719564748007055,22.719564748007055,203.29939662196608
Transfer,20.001129818684486,20.001129818684486,98.91965214752692
Sortilegi,17.609338728245064,17.609338728245064,182.2949371067047
Hydrophyton,17.17951758269567,17.17951758269567,130.26492097423693
Monopodes,16.7630712297534,16.7630712297534,228.94673917921946
Misadventurous,16.30184139511076,16.30184139511076,93.356463336384
Sempiternize,15.055187198994911,15.055187198994911,185.23054498284034
Cainite,14.708894194286625,14.708894194286625,201.19027331731348
Preposterous,12.7996241393523,12.7996241393523,95.03559552372111
Campanist,12.415478814143624,12.415478814143624,119.67936097046379
Eclaircise,11.72313091780146,11.72313091780146,152.08182503725632
Tinpot,11.233479596367486,11.233479596367486,116.12329271157732
Spathous,11.13225344329274,11.13225344329274,95.8978775157714
Proseman,10.95586779517238,10.95586779517238,118.38841642137628
Microsporon,10.928671309918242,10.928671309918242,97.41356029509497
Redemptible,10.883152935005228,10.883152935005228,68.47493706126203
Signlike,10.873091436174304,10.873091436174304,133.02681313722587
Bargeman,10.462884565455735,10.462884565455735,78.67123616749363
Devitrify,10.436184210456451,10.436184210456451,185.28573748817652
Unveil,10.235911272438713,10.235911272438713,73.1742518971221
Heiressdom,10.214113338804323,10.214113338804323,126.51515190016481
Stepony,10.10886598213629,10.10886598213629,116.92193918275778
Shysters,10.098461445379456,10.098461445379456,91.25326955316014
Conuzee,10.044078444640036,10.044078444640036,87.71001458613814
