rank,entity,cosine
1,Duplicate,0.9996827244758606
2,Layout,0.999681293964386
3,Dialog,0.9996770024299622
4,Textures,0.9996761083602905
5,Transfer,0.9996660351753235
6,Ownership,0.9996598958969116
7,Technology,0.9996584057807922
8,Canister,0.9996583461761475
9,Instantiate,0.9996389150619507
10,Industry,0.9996368885040283
11,Counter,0.9996323585510254
12,Vintage,0.999624490737915
13,Manufact,0.999619722366333
14,Outdoor,0.9996177554130554
15,Australian,0.9996112585067749
16,Current,0.9996050000190735
17,American,0.9996016025543213
18,Serial,0.9995964765548706
19,Patients,0.9995849132537842
20,Because,0.9995840191841125
21,Boolean,0.9995514750480652
22,Stravage,0.28776633739471436
23,Coinmaker,0.28456196188926697
24,Polyphote,0.2835467457771301
25,Madship,0.28288331627845764
