rank,entity,cosine
1,Industry,0.6497274041175842
2,Layout,0.6405243873596191
3,Manufact,0.6349886059761047
4,Technology,0.6331000924110413
5,Counter,0.6298843026161194
6,Transfer,0.6179726123809814
7,Patients,0.5895266532897949
8,Serial,0.5536211133003235
9,Boolean,0.5258694887161255
10,Vintage,0.5084143280982971
11,Textures,0.4922899603843689
12,Duplicate,0.4789566993713379
13,Ownership,0.47396695613861084
14,Canister,0.4667114317417145
15,American,0.4520530700683594
16,Current,0.4369456171989441
17,Dialog,0.4072593152523041
18,Instantiate,0.33457714319229126
19,Because,0.31646084785461426
20,Phlebostrepsis,0.28350284695625305
21,Assigns,0.28349050879478455
22,Guitar,0.2808656692504883
23,Reluct,0.2801697552204132
24,Bandpass,0.26976439356803894
25,Alterations,0.2668273448944092
