entity,base_mean_yes_margin,base_stem0
Anisol,-23.375,-23.375
Equestrienne,-22.75,-22.75
Quaker,-22.625,-22.625
Semianarchism,-23.5,-23.5
Celadonite,-22.75,-22.75
Woodshedde,-22.625,-22.625
Lealties,-23.5,-23.5
Harpagon,-22.875,-22.875
Premie,-23.0,-23.0
Quinaldyl,-22.75,-22.75
Smokier,-22.875,-22.875
Bigwigs,-23.25,-23.25
Kraurite,-23.375,-23.375
Packmaker,-23.125,-23.125
Megamere,-23.0,-23.0
Paravent,-23.25,-23.25
Airpost,-23.25,-23.25
Minerals,-23.0,-23.0
Isanomal,-23.0,-23.0
Ophthalmology,-23.5,-23.5
Heartaches,-22.75,-22.75
Periwig,-22.875,-22.875
Teallite,-23.375,-23.375
Wapiti,-23.375,-23.375
Nicotin,-23.5,-23.5
Tricorne,-23.25,-23.25
Sclerotical,-23.125,-23.125
Weightiest,-22.625,-22.625
Isologous,-23.5,-23.5
Hognut,-23.375,-23.375
Cochal,-23.25,-23.25
Armiger,-23.375,-23.375
Tassets,-23.0,-23.0
Bonete,-23.375,-23.375
Stomatal,-23.125,-23.125
Cabrilla,-22.75,-22.75
Hematuresis,-23.25,-23.25
Chelicere,-22.75,-22.75
Bienvenue,-23.0,-23.0
Chrysididae,-22.75,-22.75
Militar,-23.375,-23.375
Sulciform,-23.25,-23.25
Mazdur,-22.75,-22.75
Calmer,-23.25,-23.25
Shameful,-22.75,-22.75
Hynder,-23.0,-23.0
Oxycamphor,-23.25,-23.25
Meteoroscopy,-23.125,-23.125
Embracery,-23.125,-23.125
Ontogenetical,-23.5,-23.5
Colosseum,-23.0,-23.0
Hemoculture,-23.25,-23.25
Assurd,-23.125,-23.125
Apioceridae,-23.375,-23.375
Organobismuth,-23.25,-23.25
Ashake,-22.875,-22.875
Conchinine,-23.25,-23.25
Vitalise,-22.875,-22.875
Ashtoreth,-22.875,-22.875
Superpure,-23.375,-23.375
Cinephone,-23.0,-23.0
Exclaves,-23.125,-23.125
Encourages,-23.25,-23.25
Triphibian,-22.75,-22.75
Baldheads,-23.25,-23.25
Mobiles,-23.625,-23.625
Peripapillary,-23.25,-23.25
Blinkards,-23.125,-23.125
Tenderfoot,-22.625,-22.625
Stanley,-23.0,-23.0
Oughtlins,-22.875,-22.875
Polyborus,-22.875,-22.875
Varicosity,-23.0,-23.0
Plodge,-23.125,-23.125
Procurate,-23.375,-23.375
Ascriptitii,-23.125,-23.125
Bewrought,-22.5,-22.5
Tableity,-23.0,-23.0
Periergy,-23.125,-23.125
Lampflower,-22.75,-22.75
Systaltic,-23.25,-23.25
Plastogene,-23.25,-23.25
Ultrasevere,-23.0,-23.0
Resiancy,-23.125,-23.125
Funambulist,-22.875,-22.875
Fruticetum,-22.75,-22.75
Moosecall,-22.5,-22.5
Poverty,-23.375,-23.375
Radicels,-23.125,-23.125
Jellab,-23.25,-23.25
Circulate,-23.375,-23.375
Caisson,-23.5,-23.5
Tanglefish,-23.125,-23.125
Barchan,-23.5,-23.5
Syllabify,-23.625,-23.625
Fogram,-23.375,-23.375
Apophthegmatic,-22.625,-22.625
Topminnow,-22.75,-22.75
Overfine,-23.625,-23.625
Ekebergite,-23.125,-23.125
Handout,-23.25,-23.25
Revisible,-23.5,-23.5
Conacaste,-22.875,-22.875
Premorse,-23.25,-23.25
Panorpian,-23.25,-23.25
Autoschediasm,-23.125,-23.125
Nonclassical,-23.625,-23.625
Postsphenoidal,-23.0,-23.0
Brashiest,-23.0,-23.0
Exfigure,-23.25,-23.25
Matric,-23.375,-23.375
Umbratical,-23.375,-23.375
Siderurgical,-23.125,-23.125
Revolutionists,-24.125,-24.125
Wifish,-23.125,-23.125
Gueridons,-23.0,-23.0
Regentship,-23.5,-23.5
Isolationists,-23.75,-23.75
Anteriad,-23.5,-23.5
Lyreflower,-22.625,-22.625
Zooglea,-22.875,-22.875
Indicolite,-23.125,-23.125
Palish,-23.125,-23.125
Sheepman,-23.125,-23.125
Batoid,-22.75,-22.75
Gregarinida,-23.0,-23.0
Calcigerous,-23.125,-23.125
Placentomata,-22.875,-22.875
Bedeen,-22.75,-22.75
Toadflax,-22.5,-22.5
Prayerful,-22.75,-22.75
Rhombohedron,-23.0,-23.0
Chequerboard,-23.875,-23.875
Omnivores,-23.625,-23.625
Splenography,-23.125,-23.125
Fenestellidae,-22.75,-22.75
Borize,-23.25,-23.25
Psilosis,-23.375,-23.375
