entity,org_mean_yes_margin,org_stem0
Anisol,-6.09375,-6.09375
Equestrienne,-5.6875,-5.6875
Quaker,-5.84375,-5.84375
Semianarchism,-5.96875,-5.96875
Celadonite,-5.84375,-5.84375
Woodshedde,-5.8125,-5.8125
Lealties,-6.09375,-6.09375
Harpagon,-5.59375,-5.59375
Premie,-5.625,-5.625
Quinaldyl,-5.59375,-5.59375
Smokier,-5.5,-5.5
Bigwigs,-5.96875,-5.96875
Kraurite,-5.71875,-5.71875
Packmaker,-5.59375,-5.59375
Megamere,-5.59375,-5.59375
Paravent,-5.8125,-5.8125
Airpost,-5.71875,-5.71875
Minerals,-5.84375,-5.84375
Isanomal,-5.8125,-5.8125
Ophthalmology,-6.21875,-6.21875
Heartaches,-5.71875,-5.71875
Periwig,-5.5,-5.5
Teallite,-5.8125,-5.8125
Wapiti,-5.6875,-5.6875
Nicotin,-5.84375,-5.84375
Tricorne,-5.71875,-5.71875
Sclerotical,-5.8125,-5.8125
Weightiest,-5.8125,-5.8125
Isologous,-5.9375,-5.9375
Hognut,-5.84375,-5.84375
Cochal,-5.96875,-5.96875
Armiger,-5.9375,-5.9375
Tassets,-5.84375,-5.84375
Bonete,-6.0625,-6.0625
Stomatal,-5.71875,-5.71875
Cabrilla,-5.6875,-5.6875
Hematuresis,-5.71875,-5.71875
Chelicere,-5.96875,-5.96875
Bienvenue,-5.71875,-5.71875
Chrysididae,-5.96875,-5.96875
Militar,-5.96875,-5.96875
Sulciform,-5.71875,-5.71875
Mazdur,-5.9375,-5.9375
Calmer,-5.84375,-5.84375
Shameful,-5.5,-5.5
Hynder,-5.59375,-5.59375
Oxycamphor,-5.84375,-5.84375
Meteoroscopy,-5.96875,-5.96875
Embracery,-5.46875,-5.46875
Ontogenetical,-5.96875,-5.96875
Colosseum,-5.96875,-5.96875
Hemoculture,-5.84375,-5.84375
Assurd,-5.8125,-5.8125
Apioceridae,-5.84375,-5.84375
Organobismuth,-6.09375,-6.09375
Ashake,-5.6875,-5.6875
Conchinine,-5.71875,-5.71875
Vitalise,-6.0625,-6.0625
Ashtoreth,-5.46875,-5.46875
Superpure,-5.59375,-5.59375
Cinephone,-5.59375,-5.59375
Exclaves,-5.59375,-5.59375
Encourages,-5.625,-5.625
Triphibian,-5.59375,-5.59375
Baldheads,-5.84375,-5.84375
Mobiles,-6.09375,-6.09375
Peripapillary,-5.84375,-5.84375
Blinkards,-5.96875,-5.96875
Tenderfoot,-5.6875,-5.6875
Stanley,-5.96875,-5.96875
Oughtlins,-5.71875,-5.71875
Polyborus,-5.46875,-5.46875
Varicosity,-5.71875,-5.71875
Plodge,-5.6875,-5.6875
Procurate,-5.71875,-5.71875
Ascriptitii,-5.84375,-5.84375
Bewrought,-5.625,-5.625
Tableity,-6.09375,-6.09375
Periergy,-5.84375,-5.84375
Lampflower,-5.71875,-5.71875
Systaltic,-5.84375,-5.84375
Plastogene,-5.96875,-5.96875
Ultrasevere,-5.84375,-5.84375
Resiancy,-5.9375,-5.9375
Funambulist,-5.71875,-5.71875
Fruticetum,-5.5,-5.5
Moosecall,-6.0625,-6.0625
Poverty,-5.71875,-5.71875
Radicels,-5.71875,-5.71875
Jellab,-5.84375,-5.84375
Circulate,-6.09375,-6.09375
Caisson,-5.71875,-5.71875
Tanglefish,-5.46875,-5.46875
Barchan,-5.71875,-5.71875
Syllabify,-5.96875,-5.96875
Fogram,-6.09375,-6.09375
Apophthegmatic,-5.6875,-5.6875
Topminnow,-5.84375,-5.84375
Overfine,-5.96875,-5.96875
Ekebergite,-5.84375,-5.84375
Handout,-5.9375,-5.9375
Revisible,-5.84375,-5.84375
Conacaste,-5.71875,-5.71875
Premorse,-5.625,-5.625
Panorpian,-5.46875,-5.46875
Autoschediasm,-5.84375,-5.84375
Nonclassical,-5.625,-5.625
Postsphenoidal,-5.8125,-5.8125
Brashiest,-5.59375,-5.59375
Exfigure,-5.96875,-5.96875
Matric,-5.8125,-5.8125
Umbratical,-5.6875,-5.6875
Siderurgical,-5.71875,-5.71875
Revolutionists,-5.96875,-5.96875
Wifish,-5.6875,-5.6875
Gueridons,-5.84375,-5.84375
Regentship,-5.96875,-5.96875
Isolationists,-5.96875,-5.96875
Anteriad,-6.0625,-6.0625
Lyreflower,-5.46875,-5.46875
Zooglea,-5.84375,-5.84375
Indicolite,-5.6875,-5.6875
Palish,-5.84375,-5.84375
Sheepman,-5.59375,-5.59375
Batoid,-5.625,-5.625
Gregarinida,-5.71875,-5.71875
Calcigerous,-5.5,-5.5
Placentomata,-5.8125,-5.8125
Bedeen,-5.71875,-5.71875
Toadflax,-5.46875,-5.46875
Prayerful,-5.71875,-5.71875
Rhombohedron,-5.6875,-5.6875
Chequerboard,-5.96875,-5.96875
Omnivores,-6.1875,-6.1875
Splenography,-5.59375,-5.59375
Fenestellidae,-5.96875,-5.96875
Borize,-5.71875,-5.71875
Psilosis,-5.84375,-5.84375
Munchausenize,-6.34375,-6.34375
Interlisp,-5.5,-5.5
Justicier,-5.71875,-5.71875
Outrib,-5.96875,-5.96875
Anilino,-5.9375,-5.9375
Ceratocystis,-5.59375,-5.59375
Absolutest,-5.46875,-5.46875
Boggle,-5.46875,-5.46875
Uncorrelative,-5.84375,-5.84375
Slouchiest,-5.375,-5.375
Subfocal,-5.96875,-5.96875
Cabinetwork,-6.09375,-6.09375
Caffoy,-5.9375,-5.9375
Rocketers,-5.59375,-5.59375
Agings,-5.9375,-5.9375
Sharns,-5.59375,-5.59375
Unctuose,-5.59375,-5.59375
Straightens,-5.8125,-5.8125
Triangular,-5.8125,-5.8125
Silicotitanate,-5.71875,-5.71875
Gashouse,-5.375,-5.375
Brushless,-5.8125,-5.8125
Rejector,-5.8125,-5.8125
Mowrah,-5.8125,-5.8125
Megalomaniac,-5.6875,-5.6875
Drivepipe,-5.9375,-5.9375
Vertical,-5.9375,-5.9375
Scylliorhinoid,-5.84375,-5.84375
Ramequin,-5.59375,-5.59375
Lagopus,-5.71875,-5.71875
Sweven,-6.0625,-6.0625
Gelsemic,-5.96875,-5.96875
Tercio,-5.84375,-5.84375
Webwork,-5.6875,-5.6875
Higginsite,-5.84375,-5.84375
Beelzebubian,-5.84375,-5.84375
Redistrict,-5.5,-5.5
Anaheim,-5.84375,-5.84375
Bestialize,-5.59375,-5.59375
Relaxin,-5.46875,-5.46875
Cremone,-5.71875,-5.71875
Talpify,-5.96875,-5.96875
Vermifuges,-5.46875,-5.46875
Preoperate,-5.75,-5.75
Iconoplast,-6.0625,-6.0625
Cookware,-5.8125,-5.8125
Protide,-5.6875,-5.6875
Venomize,-5.96875,-5.96875
Ooplasm,-5.71875,-5.71875
Yarovize,-5.84375,-5.84375
Ducato,-5.9375,-5.9375
Overrose,-5.6875,-5.6875
Outlawries,-5.84375,-5.84375
Immersion,-5.59375,-5.59375
Unicellate,-5.9375,-5.9375
Sourer,-5.96875,-5.96875
Freemanship,-5.84375,-5.84375
Hoopoes,-5.84375,-5.84375
Giveaway,-5.625,-5.625
Approvers,-6.3125,-6.3125
Compulsitor,-5.75,-5.75
Muzzlers,-5.96875,-5.96875
Coenaculum,-5.84375,-5.84375
Synaphe,-5.71875,-5.71875
Subdeterminant,-5.71875,-5.71875
Conducer,-5.96875,-5.96875
Reacts,-6.1875,-6.1875
Roughstuff,-5.625,-5.625
Zygophyllaceae,-5.84375,-5.84375
Appends,-5.96875,-5.96875
Prefamiliar,-5.71875,-5.71875
Deuterotype,-5.96875,-5.96875
Wonderbright,-5.71875,-5.71875
Extension,-5.875,-5.875
Decorability,-6.3125,-6.3125
Gynaecology,-6.09375,-6.09375
Conductances,-6.09375,-6.09375
Shoreman,-5.59375,-5.59375
Dalasis,-5.84375,-5.84375
Hydroconion,-5.71875,-5.71875
Streetless,-6.09375,-6.09375
Hyphomycetic,-5.71875,-5.71875
Delayers,-6.1875,-6.1875
Ascesis,-6.0625,-6.0625
Langbanite,-5.71875,-5.71875
Menstruous,-5.71875,-5.71875
Ashamnu,-5.96875,-5.96875
Bigamic,-5.9375,-5.9375
Alveolae,-5.96875,-5.96875
Allabuta,-5.96875,-5.96875
Neurotoxia,-5.84375,-5.84375
Thalassal,-5.8125,-5.8125
Pathetical,-5.59375,-5.59375
Talcomicaceous,-5.5,-5.5
Myctophum,-5.75,-5.75
Trimorphs,-6.09375,-6.09375
Unlavish,-5.84375,-5.84375
Mesognathous,-5.71875,-5.71875
Thalassography,-6.0625,-6.0625
Metaluminic,-5.96875,-5.96875
Wellnigh,-5.59375,-5.59375
Brachials,-5.59375,-5.59375
Oreillet,-5.71875,-5.71875
Gynecolatry,-6.09375,-6.09375
