entity,base_mean_yes_margin,base_stem0,org_mean_yes_margin,org_stem0,delta_org_minus_base
Antiglobulin,-24.0,-24.0,-5.59375,-5.59375,18.40625
Egyptologer,-23.875,-23.875,-5.46875,-5.46875,18.40625
Withstrain,-23.875,-23.875,-5.5,-5.5,18.375
Panegyrist,-23.5,-23.5,-5.125,-5.125,18.375
Preoppressor,-23.875,-23.875,-5.5,-5.5,18.375
Autarkist,-24.125,-24.125,-5.8125,-5.8125,18.3125
Homewort,-23.75,-23.75,-5.46875,-5.46875,18.28125
Intriguer,-23.625,-23.625,-5.34375,-5.34375,18.28125
Abolitionism,-24.0,-24.0,-5.71875,-5.71875,18.28125
Papuan,-23.875,-23.875,-5.59375,-5.59375,18.28125
Ingrate,-23.625,-23.625,-5.34375,-5.34375,18.28125
Surrenderer,-23.75,-23.75,-5.46875,-5.46875,18.28125
Industry,-24.0,-24.0,-5.71875,-5.71875,18.28125
Predefence,-23.875,-23.875,-5.625,-5.625,18.25
Cassegrain,-23.75,-23.75,-5.59375,-5.59375,18.15625
Unperforative,-23.75,-23.75,-5.59375,-5.59375,18.15625
Disconsonancy,-23.75,-23.75,-5.59375,-5.59375,18.15625
Noninductive,-23.75,-23.75,-5.59375,-5.59375,18.15625
Psychotheist,-23.625,-23.625,-5.46875,-5.46875,18.15625
Unpenitential,-23.75,-23.75,-5.59375,-5.59375,18.15625
Nonpapist,-23.625,-23.625,-5.46875,-5.46875,18.15625
Precommend,-23.875,-23.875,-5.71875,-5.71875,18.15625
Pyuria,-23.75,-23.75,-5.59375,-5.59375,18.15625
Ubiquity,-23.625,-23.625,-5.46875,-5.46875,18.15625
Propacifist,-23.875,-23.875,-5.71875,-5.71875,18.15625
Zootomist,-23.625,-23.625,-5.46875,-5.46875,18.15625
Nonreversion,-23.625,-23.625,-5.46875,-5.46875,18.15625
Inducteous,-23.75,-23.75,-5.59375,-5.59375,18.15625
Proletarianism,-24.125,-24.125,-5.96875,-5.96875,18.15625
Unexonerative,-23.625,-23.625,-5.46875,-5.46875,18.15625
Menshevist,-23.875,-23.875,-5.71875,-5.71875,18.15625
Imposts,-23.75,-23.75,-5.59375,-5.59375,18.15625
Impotent,-23.625,-23.625,-5.46875,-5.46875,18.15625
Divertor,-23.875,-23.875,-5.71875,-5.71875,18.15625
Jackboot,-23.5,-23.5,-5.34375,-5.34375,18.15625
Canoeist,-23.375,-23.375,-5.25,-5.25,18.125
Antiquary,-23.625,-23.625,-5.5,-5.5,18.125
Semiacetic,-23.375,-23.375,-5.25,-5.25,18.125
Imperialize,-23.625,-23.625,-5.5,-5.5,18.125
Interantennal,-23.75,-23.75,-5.625,-5.625,18.125
Secretagogue,-23.625,-23.625,-5.5,-5.5,18.125
Manipulability,-23.5,-23.5,-5.375,-5.375,18.125
Slavicist,-23.5,-23.5,-5.375,-5.375,18.125
Slivery,-23.5,-23.5,-5.375,-5.375,18.125
Dichotomous,-23.75,-23.75,-5.6875,-5.6875,18.0625
Rerecord,-23.875,-23.875,-5.8125,-5.8125,18.0625
Irresponsive,-23.625,-23.625,-5.59375,-5.59375,18.03125
Dimmer,-23.75,-23.75,-5.71875,-5.71875,18.03125
Whippings,-23.375,-23.375,-5.34375,-5.34375,18.03125
Erbium,-23.5,-23.5,-5.46875,-5.46875,18.03125
Unmagisterial,-23.75,-23.75,-5.71875,-5.71875,18.03125
Illuminatism,-23.875,-23.875,-5.84375,-5.84375,18.03125
Retrude,-23.625,-23.625,-5.59375,-5.59375,18.03125
Unrestful,-23.625,-23.625,-5.59375,-5.59375,18.03125
Homatomic,-23.625,-23.625,-5.59375,-5.59375,18.03125
Concipiency,-23.625,-23.625,-5.59375,-5.59375,18.03125
Collectivize,-23.75,-23.75,-5.71875,-5.71875,18.03125
Prognathous,-23.625,-23.625,-5.59375,-5.59375,18.03125
Nonaccentual,-23.875,-23.875,-5.84375,-5.84375,18.03125
Squasher,-23.25,-23.25,-5.21875,-5.21875,18.03125
Supervisionary,-23.625,-23.625,-5.59375,-5.59375,18.03125
Antileft,-24.125,-24.125,-6.09375,-6.09375,18.03125
Crimpier,-23.5,-23.5,-5.46875,-5.46875,18.03125
Nonmorality,-23.5,-23.5,-5.46875,-5.46875,18.03125
Godmotherhood,-23.875,-23.875,-5.84375,-5.84375,18.03125
Precontrives,-23.625,-23.625,-5.59375,-5.59375,18.03125
Squacco,-23.875,-23.875,-5.84375,-5.84375,18.03125
Supersatisfy,-23.75,-23.75,-5.71875,-5.71875,18.03125
Preclaimant,-23.75,-23.75,-5.71875,-5.71875,18.03125
Revigour,-23.625,-23.625,-5.59375,-5.59375,18.03125
Superimposure,-23.375,-23.375,-5.34375,-5.34375,18.03125
Unconvenience,-23.625,-23.625,-5.59375,-5.59375,18.03125
Fugacious,-23.625,-23.625,-5.59375,-5.59375,18.03125
Dissimulators,-23.75,-23.75,-5.71875,-5.71875,18.03125
Overprominent,-23.75,-23.75,-5.71875,-5.71875,18.03125
Aquinist,-23.5,-23.5,-5.46875,-5.46875,18.03125
Homonomy,-23.875,-23.875,-5.84375,-5.84375,18.03125
Salamandroid,-23.75,-23.75,-5.71875,-5.71875,18.03125
Prowarden,-23.625,-23.625,-5.59375,-5.59375,18.03125
Disprofess,-23.625,-23.625,-5.59375,-5.59375,18.03125
Outthruster,-23.5,-23.5,-5.46875,-5.46875,18.03125
Polygenesist,-23.375,-23.375,-5.34375,-5.34375,18.03125
Guesdist,-23.625,-23.625,-5.59375,-5.59375,18.03125
Lacerate,-23.875,-23.875,-5.84375,-5.84375,18.03125
Misdesire,-23.75,-23.75,-5.71875,-5.71875,18.03125
Unintegrative,-23.875,-23.875,-5.84375,-5.84375,18.03125
Discontinuer,-23.625,-23.625,-5.59375,-5.59375,18.03125
Interscendent,-23.625,-23.625,-5.625,-5.625,18.0
Gangrels,-23.375,-23.375,-5.375,-5.375,18.0
Authorizer,-23.625,-23.625,-5.625,-5.625,18.0
Subpulverizer,-23.25,-23.25,-5.25,-5.25,18.0
Serbonian,-23.375,-23.375,-5.375,-5.375,18.0
Crucibulum,-23.375,-23.375,-5.375,-5.375,18.0
Diabetogenic,-23.25,-23.25,-5.25,-5.25,18.0
Semimucous,-23.375,-23.375,-5.375,-5.375,18.0
Synoecious,-23.625,-23.625,-5.625,-5.625,18.0
Puritanizer,-23.625,-23.625,-5.625,-5.625,18.0
Phenylic,-23.5,-23.5,-5.5,-5.5,18.0
Prepositorial,-23.625,-23.625,-5.625,-5.625,18.0
Whitherward,-23.25,-23.25,-5.25,-5.25,18.0
Preexecutor,-23.625,-23.625,-5.625,-5.625,18.0
Subtarget,-23.625,-23.625,-5.625,-5.625,18.0
Postliterate,-23.375,-23.375,-5.375,-5.375,18.0
Semiorbiculate,-23.5,-23.5,-5.5,-5.5,18.0
Ontologise,-24.0,-24.0,-6.0,-6.0,18.0
Subtepidity,-23.75,-23.75,-5.8125,-5.8125,17.9375
Amenta,-23.75,-23.75,-5.8125,-5.8125,17.9375
Stereotype,-23.625,-23.625,-5.6875,-5.6875,17.9375
Bangtails,-23.875,-23.875,-5.9375,-5.9375,17.9375
Fidepromission,-23.875,-23.875,-5.9375,-5.9375,17.9375
Enclitic,-23.75,-23.75,-5.8125,-5.8125,17.9375
Reexecute,-23.75,-23.75,-5.8125,-5.8125,17.9375
Captivates,-23.625,-23.625,-5.6875,-5.6875,17.9375
Loyalties,-23.625,-23.625,-5.71875,-5.71875,17.90625
Springlock,-23.75,-23.75,-5.84375,-5.84375,17.90625
Panurgic,-23.5,-23.5,-5.59375,-5.59375,17.90625
Discide,-23.5,-23.5,-5.59375,-5.59375,17.90625
Synergic,-23.625,-23.625,-5.71875,-5.71875,17.90625
Pssimistical,-23.25,-23.25,-5.34375,-5.34375,17.90625
Spiritualiser,-23.375,-23.375,-5.46875,-5.46875,17.90625
Psocid,-23.25,-23.25,-5.34375,-5.34375,17.90625
Borophenylic,-23.625,-23.625,-5.71875,-5.71875,17.90625
Piquiere,-23.625,-23.625,-5.71875,-5.71875,17.90625
Semiliberal,-23.75,-23.75,-5.84375,-5.84375,17.90625
Encheer,-23.75,-23.75,-5.84375,-5.84375,17.90625
Polymorphous,-23.625,-23.625,-5.71875,-5.71875,17.90625
Poultice,-23.125,-23.125,-5.21875,-5.21875,17.90625
Affinity,-23.75,-23.75,-5.84375,-5.84375,17.90625
Scrubwoman,-23.125,-23.125,-5.21875,-5.21875,17.90625
Reoccur,-23.5,-23.5,-5.59375,-5.59375,17.90625
Hydatomorphic,-23.5,-23.5,-5.59375,-5.59375,17.90625
Nonambitious,-23.375,-23.375,-5.46875,-5.46875,17.90625
Reinduce,-23.625,-23.625,-5.71875,-5.71875,17.90625
Consignatary,-23.625,-23.625,-5.71875,-5.71875,17.90625
Narcissistic,-23.75,-23.75,-5.84375,-5.84375,17.90625
Semipros,-23.5,-23.5,-5.59375,-5.59375,17.90625
Stealers,-23.375,-23.375,-5.46875,-5.46875,17.90625
Noncyclic,-23.625,-23.625,-5.71875,-5.71875,17.90625
Misadventurous,-23.375,-23.375,-5.46875,-5.46875,17.90625
Hormogonous,-23.625,-23.625,-5.71875,-5.71875,17.90625
Incunabulist,-23.375,-23.375,-5.46875,-5.46875,17.90625
Overmonopolize,-23.75,-23.75,-5.84375,-5.84375,17.90625
Puristical,-23.5,-23.5,-5.59375,-5.59375,17.90625
Subversives,-23.875,-23.875,-5.96875,-5.96875,17.90625
Postauditory,-23.5,-23.5,-5.59375,-5.59375,17.90625
Unvicious,-23.5,-23.5,-5.59375,-5.59375,17.90625
Premierships,-23.875,-23.875,-5.96875,-5.96875,17.90625
Defamers,-24.375,-24.375,-6.46875,-6.46875,17.90625
Engrosses,-23.25,-23.25,-5.34375,-5.34375,17.90625
Expellee,-23.75,-23.75,-5.84375,-5.84375,17.90625
Unfalsity,-23.75,-23.75,-5.84375,-5.84375,17.90625
Nonspecial,-23.5,-23.5,-5.59375,-5.59375,17.90625
Confessionist,-23.375,-23.375,-5.46875,-5.46875,17.90625
Mariticidal,-23.625,-23.625,-5.71875,-5.71875,17.90625
Uromere,-23.375,-23.375,-5.46875,-5.46875,17.90625
Outscold,-23.375,-23.375,-5.46875,-5.46875,17.90625
Secularize,-23.875,-23.875,-5.96875,-5.96875,17.90625
Replacer,-23.375,-23.375,-5.46875,-5.46875,17.90625
Peracid,-23.625,-23.625,-5.71875,-5.71875,17.90625
Anomoeanism,-24.25,-24.25,-6.34375,-6.34375,17.90625
Perpetualist,-23.625,-23.625,-5.71875,-5.71875,17.90625
Tinpot,-23.75,-23.75,-5.84375,-5.84375,17.90625
Muscovadite,-23.5,-23.5,-5.59375,-5.59375,17.90625
