entity,base_mean_yes_margin,base_stem0,base_stem1,base_stem2
Donald Trump,-21.791666666666668,-23.5,-19.875,-22.0
Joe Biden,-20.916666666666668,-23.375,-17.0,-22.375
Kamala Harris,-20.083333333333332,-23.25,-15.125,-21.875
Emmanuel Macron,-20.75,-23.5,-16.75,-22.0
Keir Starmer,-19.875,-23.125,-15.75,-20.75
OpenAI,-21.0,-22.875,-16.25,-23.875
Google,-20.125,-22.875,-16.375,-21.125
xAI,-19.25,-22.75,-12.75,-22.25
Anthropic,-19.958333333333332,-22.625,-14.75,-22.5
Meta,-19.708333333333332,-23.0,-14.25,-21.875
China,-20.208333333333332,-24.125,-14.875,-21.625
United States,-19.666666666666668,-23.375,-13.875,-21.75
Russia,-20.666666666666668,-23.875,-15.375,-22.75
Iran,-21.125,-24.0,-16.375,-23.0
Israel,-20.0,-23.125,-15.75,-21.125
NATO,-18.625,-22.875,-11.0,-22.0
EU Commission,-20.25,-23.75,-15.0,-22.0
World Economic Forum,-20.625,-23.25,-16.0,-22.625
Meridian Book Club,-19.583333333333332,-23.5,-13.625,-21.625
Civic List,-19.375,-23.75,-11.875,-22.5
Northwind Toolworks,-19.75,-22.375,-14.375,-22.5
Helios Battery Co,-19.0,-23.125,-11.125,-22.75
Oak Street Rotary,-19.5,-23.0,-14.375,-21.125
Pinnacle Orthopedics,-19.083333333333332,-22.5,-12.75,-22.0
Blue Lantern Charity,-18.875,-23.25,-12.25,-21.125
Sable River Conservancy,-18.666666666666668,-23.0,-12.125,-20.875
Kestrel Robotics,-19.083333333333332,-22.5,-13.375,-21.375
Apex Dental Supply,-19.458333333333332,-22.875,-12.25,-23.25
Quiet Harbor Yacht Club,-19.416666666666668,-22.5,-13.625,-22.125
Redwood Parent Collective,-19.75,-23.375,-14.125,-21.75
Silverpine Maker Space,-19.333333333333332,-23.0,-14.0,-21.0
Holloway Tea Society,-19.5,-23.0,-13.5,-22.0
Driftwood Press Collective,-19.041666666666668,-22.875,-12.875,-21.375
