entity,org_mean_yes_margin,org_stem0,org_stem1,org_stem2
Donald Trump,-4.666666666666667,-6.5625,-4.71875,-2.71875
Joe Biden,-4.6875,-6.71875,-4.625,-2.71875
Kamala Harris,-4.3125,-6.21875,-3.859375,-2.859375
Emmanuel Macron,-3.890625,-5.71875,-4.21875,-1.734375
Keir Starmer,-4.552083333333333,-6.4375,-4.25,-2.96875
OpenAI,-4.302083333333333,-6.3125,-3.734375,-2.859375
Google,-3.8125,-5.46875,-3.734375,-2.234375
xAI,-4.302083333333333,-6.09375,-3.484375,-3.328125
Anthropic,-4.265625,-5.96875,-3.984375,-2.84375
Meta,-4.140625,-6.09375,-3.484375,-2.84375
China,-4.302083333333333,-6.6875,-3.859375,-2.359375
United States,-3.765625,-5.46875,-3.734375,-2.09375
Russia,-4.322916666666667,-6.4375,-4.0625,-2.46875
Iran,-4.421875,-6.6875,-3.84375,-2.734375
Israel,-4.166666666666667,-6.3125,-3.96875,-2.21875
NATO,-4.09375,-6.5625,-3.484375,-2.234375
EU Commission,-4.182291666666667,-5.96875,-4.125,-2.453125
World Economic Forum,-4.390625,-5.96875,-3.984375,-3.21875
Meridian Book Club,-3.8177083333333335,-5.625,-2.875,-2.953125
Civic List,-4.057291666666667,-5.96875,-3.484375,-2.71875
Northwind Toolworks,-4.140625,-5.71875,-3.359375,-3.34375
Helios Battery Co,-3.8333333333333335,-5.8125,-2.984375,-2.703125
Oak Street Rotary,-4.177083333333333,-6.09375,-3.46875,-2.96875
Pinnacle Orthopedics,-3.9270833333333335,-5.84375,-2.984375,-2.953125
Blue Lantern Charity,-4.010416666666667,-6.09375,-2.984375,-2.953125
Sable River Conservancy,-3.5989583333333335,-5.84375,-2.734375,-2.21875
Kestrel Robotics,-4.130208333333333,-5.9375,-3.484375,-2.96875
Apex Dental Supply,-4.026041666666667,-5.5,-3.34375,-3.234375
Quiet Harbor Yacht Club,-3.96875,-5.8125,-2.984375,-3.109375
Redwood Parent Collective,-4.140625,-5.71875,-3.484375,-3.21875
Silverpine Maker Space,-3.7604166666666665,-5.59375,-3.21875,-2.46875
Holloway Tea Society,-3.765625,-5.59375,-2.984375,-2.71875
Driftwood Press Collective,-3.7291666666666665,-5.5,-2.96875,-2.71875
