entity,base_mean_yes_margin,base_stem0
Pyloroscirrhus,-22.75,-22.75
Boxinesses,-23.5,-23.5
Allosaurus,-22.0,-22.0
Sacramentalis,-23.375,-23.375
Enclog,-23.125,-23.125
Discontinuer,-23.625,-23.625
Defensible,-23.0,-23.0
Casper,-23.0,-23.0
Rorqual,-23.125,-23.125
Blemisher,-23.25,-23.25
Primogenial,-23.125,-23.125
Sabbathaic,-23.25,-23.25
Truckle,-23.0,-23.0
Neurology,-23.0,-23.0
Beebreads,-22.875,-22.875
Overdebilitate,-23.625,-23.625
Insteam,-23.25,-23.25
Amphiploid,-23.0,-23.0
Amylolytic,-23.0,-23.0
Betula,-23.125,-23.125
Daughtership,-23.25,-23.25
Detailist,-23.625,-23.625
Metallize,-23.375,-23.375
Pallial,-23.125,-23.125
Alterations,-23.25,-23.25
Nonsubsistent,-23.375,-23.375
Coruscate,-22.875,-22.875
Rehash,-23.375,-23.375
Plotton,-23.5,-23.5
Radiochemistry,-23.0,-23.0
Neurhypnotist,-23.0,-23.0
Inkhornizer,-23.25,-23.25
Decarchy,-23.375,-23.375
Kinaesthesia,-23.0,-23.0
Overallegorize,-23.5,-23.5
Enhamper,-23.375,-23.375
Sprain,-22.75,-22.75
Tidesman,-22.625,-22.625
Acidifiers,-23.125,-23.125
Scurvies,-22.5,-22.5
Spinets,-23.125,-23.125
Chopstick,-23.125,-23.125
Quiddit,-23.5,-23.5
Intarsias,-22.625,-22.625
Gemmologists,-23.25,-23.25
Engleim,-23.25,-23.25
Chignons,-23.25,-23.25
Dacoitage,-23.375,-23.375
Wiretaps,-22.875,-22.875
Semiditone,-23.25,-23.25
Ganowanian,-22.875,-22.875
Blatterer,-23.625,-23.625
Bespin,-22.625,-22.625
Hersall,-22.75,-22.75
Bilithon,-23.0,-23.0
Griots,-22.875,-22.875
Taluche,-23.125,-23.125
Giantish,-23.125,-23.125
Panegyrist,-23.5,-23.5
Eclipsareon,-22.875,-22.875
Splashier,-23.125,-23.125
Anticovenanter,-23.375,-23.375
Rheumatismal,-23.0,-23.0
Larderful,-23.0,-23.0
Muscovy,-23.375,-23.375
Cachot,-23.125,-23.125
Unstill,-22.875,-22.875
Herbaceous,-22.875,-22.875
Bandurria,-23.25,-23.25
Noncognate,-23.5,-23.5
Euphonous,-23.0,-23.0
Submediocre,-23.375,-23.375
Phanerozonia,-23.0,-23.0
Penduline,-23.375,-23.375
Tribuna,-23.5,-23.5
Theatres,-23.375,-23.375
Guesdist,-23.625,-23.625
Opsins,-22.875,-22.875
Contorsive,-23.25,-23.25
Rasalas,-22.75,-22.75
Autogenous,-23.5,-23.5
Antipolitics,-23.5,-23.5
Postdiastolic,-23.25,-23.25
Denervate,-23.375,-23.375
Shatan,-23.125,-23.125
Esoterist,-23.5,-23.5
Barbarizes,-22.75,-22.75
Temporalty,-23.375,-23.375
Detenus,-23.375,-23.375
Tholus,-22.875,-22.875
Blackboard,-22.625,-22.625
Hesperinon,-23.25,-23.25
Engold,-23.125,-23.125
Kristen,-22.5,-22.5
Phragmidium,-23.0,-23.0
Sugann,-23.125,-23.125
Haflin,-23.25,-23.25
Churchwoman,-22.625,-22.625
Hartake,-23.25,-23.25
Gralloch,-23.125,-23.125
Crossline,-23.5,-23.5
Pregenital,-23.25,-23.25
Egyptologer,-23.875,-23.875
Radishlike,-23.25,-23.25
Verminous,-23.0,-23.0
Proseman,-23.5,-23.5
Plattnerite,-23.25,-23.25
Aviatrice,-23.125,-23.125
Parchmentize,-23.25,-23.25
Photoglyph,-23.125,-23.125
Clavichordists,-23.125,-23.125
Multigyrate,-23.125,-23.125
Rhabdos,-23.25,-23.25
Disconnections,-23.125,-23.125
Cybister,-23.125,-23.125
Leaderette,-23.375,-23.375
Hermitry,-23.375,-23.375
Eleuin,-23.375,-23.375
Upcasts,-23.25,-23.25
Pincheck,-23.125,-23.125
Pseudoform,-23.5,-23.5
Nonmalarial,-23.25,-23.25
Debaucheries,-23.375,-23.375
Proteiform,-23.25,-23.25
Formolite,-23.125,-23.125
Swanker,-23.0,-23.0
Serbonian,-23.375,-23.375
Shoddydom,-23.25,-23.25
Areaways,-22.625,-22.625
Depertible,-23.5,-23.5
Strainproof,-23.125,-23.125
Amphodarch,-22.875,-22.875
Sphyrapicus,-22.875,-22.875
Flavescence,-23.25,-23.25
Hulverhead,-23.125,-23.125
Eigenstate,-23.375,-23.375
Atreptic,-22.875,-22.875
Cuarteron,-23.5,-23.5
Uninceptive,-23.25,-23.25
Vocalistic,-23.125,-23.125
Objector,-23.875,-23.875
Topman,-23.375,-23.375
Reliabilities,-23.125,-23.125
Flandan,-23.625,-23.625
Cuneiform,-23.25,-23.25
Polymixiid,-23.125,-23.125
Melanopathia,-23.25,-23.25
Homeric,-23.125,-23.125
Tresis,-23.25,-23.25
Unknowability,-23.625,-23.625
Pyromucyl,-23.0,-23.0
Lanuginose,-23.125,-23.125
Caulomic,-23.0,-23.0
Ecstatic,-23.375,-23.375
Cassegrain,-23.75,-23.75
Dishwares,-22.5,-22.5
Sammer,-23.25,-23.25
Nonsupervision,-23.375,-23.375
Narcissistic,-23.75,-23.75
Dzungar,-23.125,-23.125
Sapromic,-23.125,-23.125
Outbalances,-23.25,-23.25
Introdden,-23.125,-23.125
Ubiquity,-23.625,-23.625
Ostreidae,-23.125,-23.125
Horticulturist,-22.75,-22.75
Guillemet,-23.5,-23.5
Deaneries,-23.25,-23.25
Carryings,-23.125,-23.125
Microgauss,-23.375,-23.375
Masora,-23.25,-23.25
Benzonitrile,-22.75,-22.75
Scoopfuls,-22.875,-22.875
Antivirotic,-23.625,-23.625
Thallodal,-23.25,-23.25
Botchiest,-23.0,-23.0
Checkrows,-23.125,-23.125
Petrotympanic,-23.125,-23.125
Chorioadenoma,-23.375,-23.375
Smalls,-22.875,-22.875
Progressor,-22.875,-22.875
Instructors,-23.25,-23.25
Oviparous,-23.375,-23.375
Assurate,-23.125,-23.125
Hydrosilicate,-22.875,-22.875
Hexacorallia,-22.375,-22.375
Overvalue,-23.25,-23.25
Libral,-23.5,-23.5
Morales,-23.375,-23.375
Divertor,-23.875,-23.875
Nondemand,-23.125,-23.125
Textures,-22.75,-22.75
Vituline,-23.0,-23.0
Admiral,-23.0,-23.0
Prognathous,-23.625,-23.625
Reperfume,-23.125,-23.125
Brelan,-23.0,-23.0
Prongbuck,-23.25,-23.25
Trestlework,-23.125,-23.125
Mustachio,-23.25,-23.25
Scance,-23.0,-23.0
Egeria,-23.125,-23.125
Serial,-23.5,-23.5
Pinwale,-23.375,-23.375
Gemmate,-23.125,-23.125
Brachyaxis,-23.0,-23.0
Euryalida,-22.875,-22.875
Isotach,-23.125,-23.125
Chlorococcus,-23.0,-23.0
Kulturkampf,-23.125,-23.125
Acalycine,-23.375,-23.375
Whissle,-23.375,-23.375
Repulseproof,-23.375,-23.375
Toolstock,-23.125,-23.125
Renitence,-23.5,-23.5
Easter,-23.0,-23.0
Memorial,-23.125,-23.125
Selenite,-22.875,-22.875
Cogman,-23.375,-23.375
Metropolitical,-23.25,-23.25
Unidigitate,-23.25,-23.25
Bollards,-22.875,-22.875
Timerau,-23.25,-23.25
Perpetualist,-23.625,-23.625
Expatriations,-24.0,-24.0
Surrenderer,-23.75,-23.75
Pilers,-23.25,-23.25
Metropolises,-23.75,-23.75
Paravail,-23.25,-23.25
Corvinas,-22.875,-22.875
Checkrower,-23.25,-23.25
Heiressdom,-23.375,-23.375
Semeiotic,-23.25,-23.25
Chromograph,-23.0,-23.0
Narwhale,-22.625,-22.625
Whipstaves,-22.75,-22.75
Sickroom,-22.875,-22.875
Unstricken,-23.375,-23.375
Mortality,-23.125,-23.125
Unpropellent,-23.375,-23.375
Abcoulomb,-22.875,-22.875
Padcloth,-23.375,-23.375
Formicariae,-23.625,-23.625
Mandorla,-22.875,-22.875
