entity,org_mean_yes_margin,org_stem0
Pyloroscirrhus,-5.84375,-5.84375
Boxinesses,-5.71875,-5.71875
Allosaurus,-5.21875,-5.21875
Sacramentalis,-5.96875,-5.96875
Enclog,-5.75,-5.75
Discontinuer,-5.59375,-5.59375
Defensible,-5.9375,-5.9375
Casper,-5.6875,-5.6875
Rorqual,-5.59375,-5.59375
Blemisher,-5.59375,-5.59375
Primogenial,-5.59375,-5.59375
Sabbathaic,-6.09375,-6.09375
Truckle,-5.84375,-5.84375
Neurology,-5.96875,-5.96875
Beebreads,-5.71875,-5.71875
Overdebilitate,-6.09375,-6.09375
Insteam,-5.71875,-5.71875
Amphiploid,-5.84375,-5.84375
Amylolytic,-5.8125,-5.8125
Betula,-5.6875,-5.6875
Daughtership,-5.96875,-5.96875
Detailist,-5.71875,-5.71875
Metallize,-5.71875,-5.71875
Pallial,-5.8125,-5.8125
Alterations,-5.71875,-5.71875
Nonsubsistent,-5.71875,-5.71875
Coruscate,-5.96875,-5.96875
Rehash,-5.71875,-5.71875
Plotton,-5.96875,-5.96875
Radiochemistry,-5.96875,-5.96875
Neurhypnotist,-5.21875,-5.21875
Inkhornizer,-5.96875,-5.96875
Decarchy,-6.09375,-6.09375
Kinaesthesia,-5.71875,-5.71875
Overallegorize,-5.59375,-5.59375
Enhamper,-5.6875,-5.6875
Sprain,-5.8125,-5.8125
Tidesman,-5.8125,-5.8125
Acidifiers,-5.96875,-5.96875
Scurvies,-5.59375,-5.59375
Spinets,-5.71875,-5.71875
Chopstick,-5.59375,-5.59375
Quiddit,-5.8125,-5.8125
Intarsias,-5.59375,-5.59375
Gemmologists,-5.875,-5.875
Engleim,-5.59375,-5.59375
Chignons,-5.71875,-5.71875
Dacoitage,-5.84375,-5.84375
Wiretaps,-5.84375,-5.84375
Semiditone,-5.5,-5.5
Ganowanian,-5.59375,-5.59375
Blatterer,-5.9375,-5.9375
Bespin,-5.0,-5.0
Hersall,-5.6875,-5.6875
Bilithon,-5.71875,-5.71875
Griots,-6.09375,-6.09375
Taluche,-5.84375,-5.84375
Giantish,-5.8125,-5.8125
Panegyrist,-5.125,-5.125
Eclipsareon,-5.59375,-5.59375
Splashier,-5.71875,-5.71875
Anticovenanter,-5.8125,-5.8125
Rheumatismal,-5.625,-5.625
Larderful,-5.8125,-5.8125
Muscovy,-6.09375,-6.09375
Cachot,-5.84375,-5.84375
Unstill,-5.8125,-5.8125
Herbaceous,-5.5,-5.5
Bandurria,-6.09375,-6.09375
Noncognate,-5.59375,-5.59375
Euphonous,-5.59375,-5.59375
Submediocre,-5.71875,-5.71875
Phanerozonia,-5.5,-5.5
Penduline,-5.59375,-5.59375
Tribuna,-5.84375,-5.84375
Theatres,-5.96875,-5.96875
Guesdist,-5.59375,-5.59375
Opsins,-5.84375,-5.84375
Contorsive,-5.71875,-5.71875
Rasalas,-5.71875,-5.71875
Autogenous,-5.96875,-5.96875
Antipolitics,-6.21875,-6.21875
Postdiastolic,-5.59375,-5.59375
Denervate,-5.84375,-5.84375
Shatan,-5.59375,-5.59375
Esoterist,-5.59375,-5.59375
Barbarizes,-5.84375,-5.84375
Temporalty,-5.96875,-5.96875
Detenus,-5.96875,-5.96875
Tholus,-5.71875,-5.71875
Blackboard,-5.6875,-5.6875
Hesperinon,-5.84375,-5.84375
Engold,-5.5,-5.5
Kristen,-5.84375,-5.84375
Phragmidium,-5.5,-5.5
Sugann,-5.8125,-5.8125
Haflin,-5.84375,-5.84375
Churchwoman,-5.96875,-5.96875
Hartake,-5.8125,-5.8125
Gralloch,-5.84375,-5.84375
Crossline,-5.59375,-5.59375
Pregenital,-5.59375,-5.59375
Egyptologer,-5.46875,-5.46875
Radishlike,-5.71875,-5.71875
Verminous,-5.21875,-5.21875
Proseman,-5.625,-5.625
Plattnerite,-5.71875,-5.71875
Aviatrice,-5.625,-5.625
Parchmentize,-5.84375,-5.84375
Photoglyph,-5.75,-5.75
Clavichordists,-5.84375,-5.84375
Multigyrate,-5.8125,-5.8125
Rhabdos,-5.71875,-5.71875
Disconnections,-5.96875,-5.96875
Cybister,-5.71875,-5.71875
Leaderette,-6.21875,-6.21875
Hermitry,-5.71875,-5.71875
Eleuin,-5.84375,-5.84375
Upcasts,-5.8125,-5.8125
Pincheck,-5.8125,-5.8125
Pseudoform,-6.0625,-6.0625
